step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.3773390203714371,365.930867,128.818973,134.214396,102.724425,-1e-06,12.094186782836914
2,0.6290204934775829,246.774719,43.078889,106.922266,96.04061,-1e-06,12.089254379272461
3,0.8766864985227585,247.060585,42.983439,107.13192,96.270914,-1e-06,12.086262702941895
4,1.124745961278677,247.362739,43.231452,107.146741,96.182192,-1e-06,12.087212562561035
5,1.3745372109115124,246.944512,43.134051,106.848546,96.245624,-1e-06,12.073555946350098
6,1.6220497824251652,246.930622,43.233093,106.728454,96.221833,-1e-06,12.033976554870605
7,1.8703459482640028,247.661315,43.040169,107.241032,96.531338,-1e-06,12.099472045898438
8,2.1209011003375053,247.658314,43.492398,107.094029,96.302854,-1e-06,12.065143585205078
9,2.36906080506742,247.529922,42.966358,107.243112,96.61109,-1e-06,12.134601593017578
10,2.6195126362144947,249.824572,43.169832,106.849136,99.060722,-1e-06,12.11274242401123
11,2.8693476896733046,247.022594,42.982329,107.026709,96.268674,-1e-06,12.150099754333496
12,3.1169317234307528,246.997333,43.201502,106.891896,96.179022,-1e-06,12.168469429016113
13,3.365229196846485,247.682485,43.087941,107.080989,96.799413,-1e-06,12.258925437927246
14,3.615029999986291,247.033704,43.11349,106.982109,96.183532,-1e-06,12.238080978393555
15,3.862404679879546,246.753749,43.246693,106.914767,95.854377,-1e-06,12.26663589477539
16,4.108971334993839,245.937575,42.850286,106.401508,95.960659,-1e-06,12.193855285644531
17,4.362500628456473,250.735306,43.266043,106.846576,99.888135,-1e-06,12.33300495147705
18,4.609160337597132,246.012707,42.873797,106.369997,96.04627,-1e-06,12.364697456359863
19,4.859509516507387,247.521252,43.369855,106.961917,96.472247,-1e-06,12.388163566589355
20,5.1065893322229385,246.457224,42.876506,106.751964,96.114091,-1e-06,12.475550651550293
21,5.354267297312617,247.059445,43.07101,106.625822,96.63103,-1e-06,12.486991882324219
22,5.606758965179324,246.444914,42.891817,106.912496,95.896308,-1e-06,12.517849922180176
23,5.853882318362594,246.496135,43.080741,106.610541,96.07338,-1e-06,12.57597541809082
24,6.103255953639746,248.743523,43.201732,106.619662,98.188237,-1e-06,12.612013816833496
25,6.352744359523058,246.666018,43.06501,106.602672,96.296444,-1e-06,12.633954048156738
26,6.599973376840353,246.585716,43.151381,106.291897,96.409096,-1e-06,12.710914611816406
27,6.845623396337032,245.008229,42.915777,105.271229,96.107681,-1e-06,12.799839973449707
28,7.095364125445485,246.774379,43.215553,106.494749,96.315494,-1e-06,12.781394958496094
29,7.342890636995435,246.753909,43.07996,106.659402,96.314374,-1e-06,12.807705879211426
30,7.589453633874655,245.897664,42.909667,106.227335,96.04566,-1e-06,12.844844818115234
31,7.839181812480092,246.738568,43.255762,106.600631,96.142361,-1e-06,12.83870792388916
32,8.085982773452997,246.20647,42.906907,106.605931,95.975719,-1e-06,12.852681159973145
33,8.333177160471678,246.579096,43.006048,106.414578,96.459597,-1e-06,12.847204208374023
34,8.586044382303953,246.509345,42.858847,106.491889,96.420516,-1e-06,12.852334022521973
35,8.832697721198201,246.018596,43.052469,106.579991,95.677644,-1e-06,12.882501602172852
36,9.08012456074357,246.784769,43.156061,106.55133,96.355296,-1e-06,12.853443145751953
37,9.32951726578176,246.417133,42.972948,106.399228,96.311444,-1e-06,12.824725151062012
38,9.57656354829669,246.407533,43.309084,106.51469,95.864457,-1e-06,12.847047805786133
39,9.8234649207443,246.27524,42.879836,106.712883,95.963829,-1e-06,12.836974143981934
40,10.072412876412272,246.178849,43.03007,106.265135,96.168642,-1e-06,12.831070899963379
41,10.320600841194391,247.553723,43.155931,106.681192,96.994116,-1e-06,12.789361953735352
42,10.567074665799737,245.877034,42.889407,106.210985,96.05923,-1e-06,12.755144119262695
43,10.816834704950452,246.907472,43.303034,106.792145,96.098911,-1e-06,12.840767860412598
44,11.064608301967382,247.142546,43.67358,106.724403,95.926208,-1e-06,12.727568626403809
45,11.311915658414364,246.585646,43.07267,106.415677,96.378226,-1e-06,12.795392036437988
46,11.56465913169086,246.037077,42.861536,106.580381,95.879717,-1e-06,12.798498153686523
47,11.811734704300761,246.437283,43.023098,106.607932,96.08518,-1e-06,12.712531089782715
48,12.058978073298931,246.609496,43.221012,106.691853,95.952288,-1e-06,12.72205924987793
49,12.308088952675462,246.364312,42.921117,106.458919,96.241754,-1e-06,12.682991981506348
50,12.55567242577672,246.953272,43.270333,106.687322,96.295764,-1e-06,12.763519287109375
51,12.803330728784204,246.957573,42.899788,106.862365,96.445466,-1e-06,12.793312072753906
52,13.052417488768697,246.346472,43.11064,106.356467,96.160512,-1e-06,12.7512788772583
53,13.300186593085527,247.147666,43.119711,107.150401,96.145171,-1e-06,12.778733253479004
54,13.546460265293717,245.64331,42.870716,106.114493,95.935728,-1e-06,12.731098175048828
55,13.796016721054912,246.561656,43.230853,106.586621,96.03436,-1e-06,12.752326965332031
56,14.042831040918827,246.188059,42.896176,106.493809,96.081131,-1e-06,12.731851577758789
57,14.290251461789012,246.784948,42.941078,106.357226,96.689421,-1e-06,12.732730865478516
58,14.543924640864134,245.983745,42.907887,106.378688,95.946588,-1e-06,12.823539733886719
59,14.790597457438707,246.049027,42.986048,106.289846,96.02459,-1e-06,12.762572288513184
60,15.043799806386232,246.152499,42.909007,106.417507,96.084901,-1e-06,12.854826927185059
61,15.29087933152914,246.459824,43.05471,106.184254,96.477557,-1e-06,12.763233184814453
62,15.543889436870813,246.22425,42.840676,106.348117,96.308845,-1e-06,12.779643058776855
63,15.790467493236065,245.963705,43.005798,106.188104,96.056441,-1e-06,12.724237442016602
64,16.037038469687104,245.937415,43.181212,106.150414,95.875747,-1e-06,12.787459373474121
65,16.286492984741926,246.655967,42.890427,106.227405,96.822804,-1e-06,12.79479694366455
66,16.533883603289723,246.753598,43.259743,106.268055,96.487287,-1e-06,12.783199310302734
67,16.78122828155756,246.718138,43.02476,106.598981,96.379706,-1e-06,12.77420711517334
68,17.03070772998035,246.595956,43.06406,106.211525,96.60262,-1e-06,12.77258586883545
69,17.278095956891775,246.740579,43.120651,106.602092,96.293504,-1e-06,12.755244255065918
70,17.52440730854869,245.66865,42.816536,105.978571,96.166842,-1e-06,12.835540771484375
71,17.774903941899538,247.534812,43.197982,106.935727,96.60029,-1e-06,12.750536918640137
72,18.02205900847912,246.427914,43.03555,106.516039,96.143792,-1e-06,12.909717559814453
73,18.268929349258542,246.24236,42.934298,106.399667,96.203232,-1e-06,12.773229598999023
74,18.52223800122738,245.764671,42.860786,106.407698,95.749104,-1e-06,12.818780899047852
75,18.769338244572282,246.475614,42.996708,106.288866,96.455367,-1e-06,12.831498146057129
76,19.022563075646758,246.058977,42.900488,106.371987,96.05133,-1e-06,12.783618927001953
77,19.269537156447768,246.355892,42.985139,106.285245,96.369675,-1e-06,12.805683135986328
78,19.52212310768664,245.965316,42.836986,106.338727,96.07581,-1e-06,12.831762313842773
79,19.768957437947392,246.168409,42.964608,106.262965,96.198832,-1e-06,12.828842163085938
80,20.015891129150987,246.322181,43.1268,106.083142,96.392546,-1e-06,12.808452606201172
81,20.266411492601037,247.698896,42.821267,106.210294,97.75848,-1e-06,12.808616638183594
82,20.51349524781108,246.406553,43.417216,106.302145,95.852707,-1e-06,12.78610897064209
83,20.760190304368734,246.055426,42.833415,106.403878,96.106341,-1e-06,12.846719741821289
84,21.00861717388034,245.554958,43.029449,105.842349,95.967289,-1e-06,12.819758415222168
85,21.255906281992793,246.654847,43.200192,106.380478,96.352026,-1e-06,12.86134147644043
86,21.50234136544168,245.792253,42.877627,106.294936,95.899307,-1e-06,12.80556583404541
87,21.751824408769608,246.593146,43.175652,106.61682,96.07519,-1e-06,12.777046203613281
88,21.99836734496057,245.915864,42.951538,106.225595,96.007949,-1e-06,12.780505180358887
89,22.245276924222708,246.278071,42.891527,106.230585,96.436406,-1e-06,12.833624839782715
90,22.493783734738827,245.853184,43.228463,106.136784,95.764345,-1e-06,12.909163475036621
91,22.74128630757332,246.851971,42.819185,106.603261,96.709552,-1e-06,12.868624687194824
92,22.987579248845577,245.702461,43.034049,105.971771,95.973029,-1e-06,12.938151359558105
93,23.24227623268962,246.989183,42.809805,106.915006,96.487588,-1e-06,12.883578300476074
94,23.489193284884095,246.288861,43.039109,106.235355,96.280664,-1e-06,12.885494232177734
95,23.74108238145709,245.934464,42.816665,106.387498,96.005299,-1e-06,12.970325469970703
96,23.98767888918519,245.981266,43.018659,106.262446,95.968299,-1e-06,12.877790451049805
97,24.23476051352918,246.479964,43.123101,106.402538,96.249784,-1e-06,12.886899948120117
98,24.483077267184854,245.514417,42.912708,105.936499,95.938918,-1e-06,12.958869934082031
99,24.730226933956146,246.520275,43.092811,106.741424,95.954928,-1e-06,12.922521591186523
100,24.976992841809988,246.090047,42.856626,106.360277,96.163892,-1e-06,13.013127326965332
101,25.22604045085609,246.207419,42.939027,106.146554,96.351325,-1e-06,12.885479927062988
102,25.473113065585494,246.488384,43.162191,106.172224,96.443606,-1e-06,12.968146324157715
103,25.71977803297341,246.045816,42.883556,106.394098,96.018519,-1e-06,12.986461639404297
104,25.968601444736123,246.018376,43.07044,106.116333,96.104601,-1e-06,12.991281509399414
105,26.21557877957821,246.353582,43.07258,106.353076,96.201633,-1e-06,12.966838836669922
106,26.46177133731544,245.543108,42.831306,106.024011,95.952848,-1e-06,13.063944816589355
107,26.711535908281803,246.935212,43.234732,106.569071,96.407186,-1e-06,12.992751121520996
108,26.958803357556462,246.624646,42.847166,106.49826,96.544969,-1e-06,13.004931449890137
109,27.205306831747293,245.821703,42.894556,105.964111,96.220623,-1e-06,12.967512130737305
110,27.45956600829959,246.377882,42.828826,106.393947,96.439037,-1e-06,12.958422660827637
111,27.706463661044836,246.2449,42.903498,106.138963,96.433777,-1e-06,13.055424690246582
112,27.95941710472107,245.929594,42.889376,106.345067,95.966069,-1e-06,13.0191650390625
113,28.20632845722139,246.279381,42.997029,106.224655,96.324125,-1e-06,13.083338737487793
114,28.452795011922717,245.835053,43.184482,106.236155,95.698484,-1e-06,13.0791597366333
115,28.701607834547758,246.082417,42.797855,106.121173,96.450227,-1e-06,13.035489082336426
116,28.94979631714523,247.527833,43.140352,106.335786,97.315662,-1e-06,13.084006309509277
117,29.197648705914617,247.033044,43.184612,106.631512,96.491867,-1e-06,13.041041374206543
118,29.446594243869185,245.969036,43.09293,106.167414,95.983749,-1e-06,13.06849193572998
119,29.693537674844265,246.307531,43.08639,106.471249,96.042519,-1e-06,13.055416107177734
120,29.939905617386103,245.741151,42.820005,106.243675,95.973259,-1e-06,13.11532211303711
121,30.189776858314872,247.060294,43.157441,106.585,96.590569,-1e-06,13.130143165588379
122,30.437186339870095,246.81414,42.905398,106.461978,96.722241,-1e-06,13.104799270629883
123,30.684071861207485,246.127318,43.004439,106.271446,96.137642,-1e-06,13.092881202697754
124,30.93346131592989,246.533975,43.121811,106.342708,96.343885,-1e-06,13.112038612365723
125,31.180345257744193,246.24392,42.857376,106.375948,96.300894,-1e-06,13.149458885192871
126,31.42711796425283,246.140609,43.149072,106.316157,95.958898,-1e-06,13.168703079223633
127,31.678784608840942,246.265111,42.843527,106.677682,96.02179,-1e-06,13.099386215209961
128,31.925329733639956,245.914555,43.00556,106.015591,96.180822,-1e-06,13.198994636535645
129,32.17289010435343,246.866531,43.217072,106.443229,96.460897,-1e-06,13.13671588897705
130,32.422682266682386,247.061574,42.815366,106.908607,96.406226,-1e-06,13.081088066101074
131,32.67055750451982,247.117235,43.409085,106.52508,96.340694,-1e-06,13.092065811157227
132,32.91701261885464,245.866144,42.810105,106.201404,96.140182,-1e-06,13.141183853149414
133,33.166225569322705,246.323651,42.972929,106.193344,96.429086,-1e-06,13.21673583984375
134,33.412804525345564,245.936415,43.04866,106.097632,96.06989,-1e-06,13.18875503540039
135,33.65959557518363,246.155048,42.824656,106.248335,96.370066,-1e-06,13.236136436462402
136,33.908334117382765,245.912355,43.141401,106.223395,95.830076,-1e-06,13.339515686035156
137,34.15516531653702,246.208539,42.862296,106.367648,96.264763,-1e-06,13.240851402282715
138,34.40168038383126,245.894964,42.928067,105.95273,96.267984,-1e-06,13.173528671264648
139,34.650823563337326,246.404373,43.228442,106.203794,96.264394,-1e-06,13.165960311889648
140,34.897628873586655,246.161518,42.802455,106.239054,96.395756,-1e-06,13.163917541503906
141,35.14465966448188,246.376142,42.980089,106.100973,96.548608,-1e-06,13.149131774902344
142,35.39747526869178,246.121888,42.843756,106.192145,96.358605,-1e-06,13.224407196044922
143,35.644279109314084,246.166579,43.026059,106.091183,96.323705,-1e-06,13.140308380126953
144,35.89122346043587,246.334472,43.124501,106.023912,96.477817,-1e-06,13.269351959228516
145,36.14081130921841,246.809139,42.838175,106.217684,96.898125,-1e-06,13.200700759887695
146,36.38811187632382,246.671858,43.249624,106.350476,96.359635,-1e-06,13.262482643127441
147,36.63483261317015,246.085537,42.845596,106.482089,96.04831,-1e-06,13.206008911132812
