elapsed_sec,forward_ms_mean,forward_ms_std,forward_ms_rolling_mean,backward_ms_mean,backward_ms_std,backward_ms_rolling_mean,optimizer_step_ms_mean,optimizer_step_ms_std,optimizer_step_ms_rolling_mean
0.0,276.20822566666664,7.323592434613096,276.20822566666664,373.9246053333333,0.2419888583186008,373.9246053333333,102.422345,0.20255663031113266,102.422345
1.0,180.76224266666665,0.07921619218526478,228.48523416666666,355.9007286666667,0.305972290935504,364.912667,96.10501866666667,0.56119884024678,99.26368183333334
2.0,180.8564485,0.019542113543581752,212.60897227777778,356.78347583333334,0.6947927111206557,362.20293661111117,96.4780035,0.7058710297024973,98.3351223888889
3.0,180.8661175,0.023214019018693983,204.67325858333334,355.758994,0.064074367033513,360.59195095833337,95.94432466666667,0.4019342861116496,97.73742295833334
4.0,180.94740533333334,0.09911893157380704,199.92808793333333,355.8051663333333,0.23675418537449364,359.63459403333337,97.06485533333334,1.7616353623112069,97.60290943333334
5.0,180.94565883333334,0.006186884319536953,180.87557456666667,355.710075,0.2193996733885335,355.9916879666667,96.21200566666667,0.5132142669502919,96.36084156666666
6.0,180.91676133333334,0.1465873582964492,180.90647829999997,355.53822833333334,0.6163578813808813,355.91918789999994,95.96282333333333,0.49424721727120813,96.33240250000001
7.0,180.92271,0.07788857661427959,180.9197306,355.5273381666667,0.10894872985642513,355.66796036666665,96.20104099999999,0.43858196608530436,96.27701000000002
8.0,180.83590666666666,0.11052105675088791,180.91368843333333,355.47727733333335,0.42461035763312555,355.61161703333335,95.78648,0.25957553498548314,96.24544106666669
9.0,180.82405283333333,0.13881257236858885,180.88901793333335,355.5006408333333,0.10938184821114753,355.5507119333333,95.91075216666667,0.2812366523980941,96.01462043333335
10.0,180.81217466666666,0.07434728456597904,180.86232109999997,355.32888099999997,0.26096025715230226,355.47447313333333,95.70982383333333,0.3554287980209056,95.91418406666669
11.0,180.8519885,0.04709143078362702,180.8493665333333,355.4087005,0.31238830766652376,355.44856756666667,95.969652,0.22436147779365334,95.91554980000002
12.0,180.898693,0.08408574495269437,180.8445631333333,355.29573216666665,0.3556667227764998,355.4022463666667,95.99322583333333,0.20709010277252207,95.87398676666668
13.0,180.99155566666667,0.05732427357005248,180.8756929333333,355.477598,0.28489551709179783,355.4023105,95.979021,0.21547430142130775,95.91249496666669
14.0,180.974626,0.03410993131406053,180.90580756666662,355.37187316666666,0.34274844075296546,355.3765569666667,95.995422,0.2824256433448521,95.92942893333336
15.0,180.85772333333333,0.039500337496442356,180.91491729999996,354.858742,0.39081606792453233,355.2825291666667,95.991351,0.29818577622180303,95.98573436666668
16.0,180.83723633333332,0.06034424646421527,180.91196686666663,354.8105831666667,0.09966472261325275,355.1629057,95.9039955,0.12712684905145794,95.97260306666666
17.0,180.815236,0.18014188305888915,180.89527546666662,355.07991266666664,0.3929012371784333,355.1197418,95.88141533333334,0.3430887152535556,95.95024096666666
18.0,180.80090383333334,0.04643813167090144,180.85714509999994,354.7889695,0.08357693749474801,354.98201609999995,95.87895233333333,0.2768962693186511,95.93022723333334
19.0,180.85039683333332,0.0999095458031049,180.83229926666658,354.92322,0.1947155033433349,354.89228546666664,95.922241,0.07727525360198062,95.91559103333333
20.0,180.88912366666668,0.0966170373398618,180.83857933333326,354.71350033333334,0.21736852167303358,354.8632371333333,95.76024366666667,0.20138836935218726,95.86936956666666
21.0,180.81909766666666,0.06031632529907745,180.83495159999993,354.70923416666665,0.2783250300297746,354.8429673333333,95.88793650000001,0.3673453819966265,95.86615776666666
22.0,180.917924,0.08172235834212853,180.85548919999994,354.68514633333336,0.16844749951937948,354.7640140666666,95.80132366666666,0.30161216519618955,95.85013943333333
23.0,180.84409333333332,0.10034756928089954,180.86412709999993,354.65150616666665,0.24246852592928572,354.7365214,95.91940733333334,0.3637754259891439,95.85823043333332
24.0,180.81137933333332,0.03903125212355745,180.85632359999994,354.8645823333333,0.36088561274222125,354.72479386666663,96.102646,0.10487342984283124,95.89431143333331
25.0,180.88997583333332,0.06778522179894447,180.85649403333326,354.84599383333335,0.1042294551462336,354.7512925666667,96.07854533333334,0.23493821709192697,95.95797176666665
26.0,180.92549466666668,0.14685208190074303,180.87777343333323,354.39459700000003,0.15005897774122284,354.6883651333334,95.96434316666667,0.19982409333232098,95.97325309999997
27.0,180.858727,0.08056689933217695,180.86593403333325,354.426977,0.14674707433199685,354.63673126666674,95.78752066666667,0.00950162650988544,95.97049249999995
28.0,180.85577666666669,0.11265021701525203,180.8682706999999,354.57074066666667,0.16200733816817245,354.6205781666667,95.88617016666667,0.19591003852810462,95.96384506666664
29.0,181.05431733333333,0.1913635671812552,180.9168582999999,354.52553566666666,0.32438295737034994,354.5527688333334,96.29298899999999,0.46361443147943426,96.00191366666664
30.0,180.92023483333335,0.014265690881735115,180.9229100999999,354.32558883333337,0.08339914062856905,354.44868783333345,95.71640016666667,0.3373834618739953,95.92948463333332
31.0,180.85363033333334,0.07617224074644517,180.90853723333325,354.15569566666665,0.07578853396346819,354.4009075666668,95.75210633333333,0.09325006457012337,95.88703726666664
32.0,180.95891533333335,0.07479910107468543,180.92857489999992,354.358273,0.1573234167257141,354.3871667666667,95.9581565,0.17969302308937452,95.92116443333332
33.0,180.94248716666667,0.1033806971009752,180.94591699999995,354.19771016666664,0.12462547879982999,354.31256066666674,95.76910816666667,0.11599328081006725,95.89775203333332
34.0,180.99860916666668,0.014227928049566223,180.9347753666666,354.18607499999996,0.17867633831317667,354.2446685333334,96.05681183333334,0.3709132967521964,95.8505166
35.0,180.878609,0.04682392950991408,180.92645019999995,353.97768066666663,0.2483012369916613,354.1750869000001,95.95107483333334,0.2718783987025874,95.89745153333334
36.0,180.86176366666666,0.12594001334893629,180.9280768666666,354.2257236666667,0.10137010656666391,354.18909250000013,95.87611833333334,0.2768712725660279,95.92225393333334
37.0,180.88626250000002,0.11590686122163311,180.91354629999992,354.1538275,0.18698514474886946,354.1482034000001,95.89806883333334,0.30986487152561476,95.9102364
38.0,180.85726433333332,0.2091950455085798,180.89650173333328,354.11652833333335,0.1444623720431661,354.1319670333334,96.13468333333333,0.6110792119327338,95.98335143333334
39.0,180.97010533333332,0.10669865596897055,180.89080096666663,353.96942383333334,0.4599376962864701,354.0886368,95.99884033333333,0.4719099447408765,95.97175713333334
40.0,180.93981533333334,0.010017405918370349,180.9030422333333,353.943737,0.24389344766308266,354.08184806666674,95.90832716666667,0.44871806493674665,95.9632076
41.0,180.88375233333335,0.0745475967710192,180.90743996666663,353.66505316666667,0.2726662547989592,353.96971396666675,95.82260883333333,0.2236764748438729,95.9525057
42.0,180.95422349999998,0.11715874003675174,180.92103216666663,354.0492541666666,0.27837434757010454,353.9487993,95.85417283333334,0.22190830960913424,95.9437265
43.0,180.94827533333333,0.09464633516588322,180.93923436666662,353.9876263333333,0.36181670640441493,353.9230189,95.85994433333333,0.4069300534150033,95.88877870000002
44.0,180.8622025,0.09422323293514841,180.91765379999998,353.7224141666667,0.22631793344231327,353.87361696666665,95.88500883333333,0.0637606808000329,95.86601240000002
45.0,180.86839366666666,0.21230223051427602,180.90336946666662,353.83249,0.15411826574420823,353.8513675666666,96.244103,0.22812639182479053,95.9331675666667
46.0,180.927513,0.13668135797814576,180.91212159999995,354.02499133333333,0.4894626652545335,353.92335519999995,95.76322983333333,0.09129303052031916,95.9212917666667
47.0,180.8908355,0.11917069280133391,180.89944399999996,353.55042133333336,0.20344969100326807,353.8235886333333,96.07490233333333,0.3571271953594856,95.96543766666669
48.0,180.75649833333333,0.264405229617971,180.86108859999996,353.69917933333335,0.14364721511948614,353.76589923333324,95.74560933333333,0.08960509213394931,95.94257066666668
49.0,180.7625155,0.43251420199832696,180.84115119999996,353.4578246666667,0.36549346964078633,353.7129813333333,95.68247633333334,0.23866211581875124,95.90206416666668
50.0,180.69955433333334,0.33604121114877467,180.8073833333333,353.46710666666667,0.20195239970431994,353.6399046666666,95.90294866666666,0.37264892658148796,95.83383330000001
51.0,180.94466216666666,0.4909645285329533,180.8108131666666,353.892003,0.3133437636015771,353.61330699999996,95.77495499999999,0.106163657807177,95.83617833333335
52.0,180.725722,0.38267229639863304,180.77779046666663,353.560731,0.5285675517291937,353.61536893333334,95.86032766666666,0.43771333935503165,95.79326340000001
53.0,180.65946833333334,0.24590836210077935,180.75838446666666,353.46846466666665,0.18965404776155148,353.56922599999996,95.96587166666667,0.0983397596821019,95.83731586666669
54.0,180.51960733333334,0.3859813097513001,180.7098028333333,353.5944231666667,0.5859488774736262,353.59654569999987,95.86217183333333,0.12572334466432394,95.87325496666668
55.0,180.4962871666667,0.34375664977580295,180.66914939999995,353.690394,0.30294152047052203,353.6412031666665,95.92092933333333,0.3146159576886279,95.87685110000001
56.0,180.59376066666667,0.44610166653867367,180.59896909999998,353.61848249999997,0.3151240955159858,353.58649906666653,96.04720333333333,0.30944405283197524,95.93130076666668
57.0,180.49999366666665,0.30436469769067204,180.5538234333333,353.14788366666664,0.42895318189789156,353.5039295999998,95.95088266666667,0.6750593830429548,95.94941176666669
58.0,180.5281665,0.43735772570745357,180.5275630666666,353.4557976666667,0.44380634294654386,353.50139619999976,96.2463255,0.3032618164358961,96.00550253333336
59.0,180.514714,0.30415523175017406,180.5265843999999,353.482503,0.4695381062948891,353.4790121666664,95.78170266666666,0.41383241078646243,95.98940870000003
60.0,180.55524283333332,0.3184769102683604,180.53837553333324,353.39974333333333,0.2803990412899664,353.4208820333331,95.84025249999999,0.2007832024852913,95.97327333333335
61.0,180.550195,0.4516174755387456,180.52966239999992,353.21090833333335,0.16400521986306218,353.33936719999974,95.76037283333334,0.1072152203284763,95.91590723333336
62.0,180.28822449999998,0.029102869218511365,180.4873085666666,353.1129045,0.5943646687890601,353.3323713666665,95.90830516666666,0.4500034535307298,95.90739173333336
63.0,180.275644,0.15908610377795,180.43680406666658,353.39190866666667,0.23873768374322396,353.3195935666664,95.96981516666666,0.22513908559618215,95.85208966666669
64.0,180.46509633333332,0.06468863826308698,180.42688053333325,353.2845756666667,0.23510762805644841,353.2800080999998,96.11171333333333,0.043110008122635615,95.91809180000003
65.0,180.29361433333332,0.011105349626795593,180.37455483333324,353.34976566666666,0.23796983689449644,353.2700125666664,95.81836233333333,0.31835040117939767,95.91371376666669
66.0,180.34318433333334,0.06450700257594466,180.33315269999989,353.392536,0.3832532870817869,353.3063380999997,95.98563066666667,0.17208373926764078,95.95876533333335
67.0,180.22958683333334,0.11318775121708823,180.32142516666656,353.39235783333334,0.2557086755109975,353.36222876666636,95.83906483333334,0.239060976926564,95.94491726666669
68.0,180.22171016666667,0.0724238139863774,180.31063839999987,353.10243783333334,0.2237718872347109,353.3043345999997,95.86165633333333,0.2624575586701261,95.92328550000005
69.0,180.21655133333334,0.05045358709084821,180.2609293999999,353.21403166666664,0.28146051022715834,353.29022579999975,95.66680766666667,0.08496610125416869,95.8343043666667
70.0,180.35571283333334,0.04887976809562988,180.2733490999999,353.2569521666667,0.2551024400238078,353.2716630999998,95.94974283333333,0.22845209573581307,95.86058046666669
71.0,180.29184966666665,0.05100766280013778,180.26308216666658,353.13101033333334,0.08636331596419516,353.21935796666645,95.891275,0.2547785165727319,95.84170933333334
72.0,180.32270533333335,0.026038386539559012,180.28170586666656,353.13049533333333,0.15661981896005828,353.16698546666646,96.05309866666667,0.4512758832381099,95.88451610000001
73.0,180.38129800000002,0.09673569160862795,180.31362343333325,352.9804775,0.14035036491847264,353.14259339999984,95.7750395,0.23606285844187871,95.86719273333334
74.0,180.32095716666666,0.09948943779408326,180.33450459999992,353.213698,0.44124993440114096,353.14252666666647,95.798622,0.18013973591909363,95.8935556
75.0,180.3545955,0.027754153558530014,180.33428113333326,353.07464383333337,0.10190465550739536,353.10606499999983,95.78445316666667,0.295063999813744,95.86049766666666
76.0,180.26313566666667,0.1325266080993981,180.32853833333328,353.2963923333333,0.6517918902550943,353.13914139999986,96.096833,0.19927081172113184,95.90160926666667
77.0,180.31728316666667,0.060418283644800085,180.32745389999994,353.1229716666667,0.03917819233110609,353.1376366666665,95.99724916666668,0.2794638902471727,95.89043936666667
78.0,180.15472733333334,0.078825772189898,180.2821397666666,352.80311366666666,0.1525104418862475,353.1021638999998,95.87698166666667,0.37539448836435196,95.9108278
79.0,180.32800333333333,0.10687025050187472,180.28354899999994,353.15645900000004,0.2796740760657897,353.09071609999984,95.99691833333333,0.19261371777234318,95.95048706666667
80.0,180.20618633333333,0.05875457255680875,180.25386716666662,352.96666716666664,0.512308491025753,353.0691207666665,96.06245083333333,0.36250649272541463,96.00608659999999
81.0,180.31311633333334,0.06655644066755322,180.26386329999994,353.01598483333333,0.3765633084271197,353.0130392666666,95.6582325,0.3317984709326525,95.91836649999999
82.0,180.27161116666664,0.035816493136312945,180.25472889999995,352.981136,0.02725971597888544,352.9846721333332,95.71896333333333,0.11364181882161388,95.86270933333331
83.0,180.27915933333333,0.1570164539605164,180.27961529999993,352.91051933333335,0.6396087884217316,353.0061532666666,95.84671933333334,0.05103542534684047,95.85665686666664
84.0,180.20294916666666,0.10268291356078137,180.25460446666662,352.8085063333333,0.15768327492263542,352.93656273333323,95.86639849999999,0.298292936375889,95.83055289999996
85.0,180.19697316666668,0.11075180031757761,180.25276183333327,352.9447636666667,0.41252594905815704,352.9321820333332,95.93263266666666,0.16085614569649595,95.80458926666662
86.0,180.2297055,0.10274285520048362,180.23607966666657,353.0768776666667,0.14653610819294133,352.94436059999987,95.88226833333333,0.19232936095753328,95.84939643333328
87.0,180.19779133333333,0.0658282994128219,180.22131569999993,352.7527338333333,0.46611726008332033,352.8986801666666,95.86907149999999,0.4762979240850762,95.8794180666666
88.0,180.1523515,0.08089563401847538,180.19595413333323,352.9089148333333,0.15194129076252394,352.89835926666655,95.94512883333333,0.24724820047390006,95.89909996666661
89.0,180.15416050000002,0.022330780886485248,180.1861963999999,352.66972533333336,0.33785475385301655,352.87060306666655,95.8714945,0.22381184767958384,95.90011916666661
90.0,180.302793,0.2241283067865369,180.20736036666656,353.086177,0.41727932468192797,352.89888573333326,95.77721466666667,0.20901901542522786,95.86903556666661
91.0,180.19940633333334,0.07631315680525773,180.2013005333332,352.8707341666667,0.31153091274955813,352.8576570333332,95.7217765,0.2484551733794251,95.83693719999995
92.0,180.19375599999998,0.13616577245034742,180.20049346666656,352.7253735,0.25309735337466244,352.8521849666666,95.69921616666666,0.3366590101320341,95.80296613333329
93.0,180.1140365,0.04688816561511126,180.19283046666658,352.676187,0.20229623242476735,352.8056393999999,95.79985866666667,0.2494656572443066,95.77391209999993
94.0,180.1660675,0.11714800081946675,180.19521186666657,352.70262733333334,0.27628049927127835,352.81221979999987,95.78164783333334,0.19019359804704977,95.7559427666666
95.0,180.15010666666666,0.16537643218528078,180.1646745999999,352.49558233333335,0.25393574344964753,352.6941008666665,96.00938933333333,0.5043301262033933,95.80237769999994
96.0,180.17437950000001,0.17844916617135184,180.1596692333332,352.825483,0.13176844469845617,352.68505063333316,95.94358933333334,0.19602461277689975,95.8467402666666
97.0,180.15060066666666,0.0837448738152558,180.15103816666652,352.419324,0.33421146068470653,352.62384073333317,95.798092,0.12684375626336947,95.86651543333326
98.0,180.176263,0.1561327387969998,180.16348346666652,352.65674366666667,0.2209443357083157,352.61995206666654,96.024101,0.14317771382009986,95.91136389999994
99.0,180.20266283333333,0.06747499003767865,180.1708025333332,352.5796335,0.11632433109522036,352.59535329999983,95.86569633333333,0.2388472551450649,95.92817359999994
100.0,180.13906366666666,0.08176869956215548,180.1685939333332,352.49812583333335,0.37294013626730715,352.59586199999984,95.73590733333333,0.1777369952326541,95.87347719999993
101.0,180.06520066666667,0.09430534680669944,180.14675816666653,352.72551649999997,0.16018475686847222,352.5758686999999,95.82669866666667,0.2013492679315737,95.8500990666666
102.0,180.14800366666665,0.05227555786726242,180.14623876666656,352.65900899999997,0.38400515865416274,352.6238056999999,95.71793033333333,0.1945081529508065,95.83406673333327
103.0,180.21183983333333,0.06193344302016744,180.15335413333318,352.4189576666667,0.15074166231861053,352.5762484999999,95.86872149999999,0.18000999469404708,95.80299083333327
104.0,180.176196,0.16656589632034133,180.14806076666656,352.35161666666664,0.4149305515015007,352.5306451333332,95.9038955,0.269511993356046,95.8106306666666
105.0,180.150702,0.1315601156515517,180.1503884333332,352.52403483333336,0.28802233822931245,352.53582693333317,95.85999116666666,0.281605494842667,95.83544743333327
106.0,180.16196383333335,0.04777931765507153,180.16974106666652,352.4287976666667,0.4372727357454913,352.4764831666665,95.75832233333333,0.155381788033005,95.8217721666666
107.0,180.14512733333333,0.13685700356334263,180.1691657999999,352.66811233333334,0.33328115325101826,352.4783038333332,95.85348933333333,0.35558527953549546,95.8488839666666
108.0,180.1311385,0.08977526115807391,180.1530255333332,352.19439516666665,0.3207931424120275,352.4333913333332,95.878978,0.29048584472009803,95.8509352666666
109.0,180.17588733333332,0.19235124047516666,180.1529637999999,352.5630043333333,0.4315138300360038,352.4756688666665,95.81780233333333,0.3511637939969509,95.83371663333328
110.0,180.14759583333333,0.18768277288708546,180.15234256666656,352.21699233333334,0.2145349126391238,352.4142603666665,95.78850333333332,0.08533703084876733,95.81941906666661
111.0,180.036755,0.20715474727605346,180.1273007999999,352.342285,0.2491946248437122,352.39695783333315,95.70658716666667,0.18078735447503574,95.80907203333327
112.0,180.18866966666667,0.024051599179337222,180.13600926666658,352.24816649999997,0.02506473505243562,352.31296866666645,95.71845333333333,0.06402002319066874,95.78206483333327
113.0,180.15120349999998,0.039578904289424545,180.14002226666656,352.4324728333333,0.1459763569866006,352.3605841999997,95.81743533333334,0.3029307067178572,95.76975629999994
114.0,180.120426,0.0648132925486716,180.1289299999999,352.328613,0.11451370588710669,352.3137059333331,95.811738,0.3980568127830556,95.76854343333328
115.0,180.10670816666666,0.1373585915790571,180.1207524666666,352.41769916666664,0.1551600051852798,352.35384729999976,96.031599,0.0855694365515496,95.81716256666661
116.0,180.07816516666668,0.09297062691024553,180.12903449999993,351.97955,0.20806349019230327,352.2813002999997,95.7520545,0.1697676436287231,95.82625603333328
117.0,180.10694133333334,0.16464598707555386,180.11268883333327,352.26672833333333,0.21112585994870894,352.2850126666664,95.95652766666667,0.3157944616999095,95.87387089999994
118.0,180.04880383333332,0.13519232125229586,180.09220889999995,352.0320403333333,0.018872657585344548,352.2049261666664,95.97351116666667,0.28400677938754043,95.90508606666661
119.0,180.12756133333335,0.1686005279946721,180.09363596666662,352.11502616666667,0.3349036962368371,352.16220879999975,95.85654149999999,0.3767966980212956,95.91404676666662
120.0,180.08496416666668,0.08580032759310241,180.08928716666662,352.1513013333333,0.22067138860777955,352.1089292333331,95.76483966666667,0.3166386510840592,95.86069489999996
121.0,180.09540633333333,0.05970092704751324,180.09273539999995,352.00524,0.1414155760480548,352.1140672333331,95.866023,0.19559007188249805,95.88348859999996
122.0,180.04731366666667,0.1324132091714532,180.0808098666666,352.00044233333335,0.13426322784116682,352.06081003333315,95.824212,0.12769648510921644,95.85702546666663
123.0,180.01129416666666,0.06671301934842766,180.0733079333333,352.2511763333333,0.7027666989423416,352.10463723333316,95.88719683333333,0.17686188143176088,95.83976259999997
124.0,180.04714533333333,0.23135251275128949,180.05722473333333,352.10532716666665,0.2528543713021205,352.1026974333332,95.71145683333333,0.25062146169987126,95.81074566666663
125.0,180.00898783333332,0.09247703239228611,180.0420294666667,352.189745,0.34792562157450946,352.11038616666656,95.73894733333334,0.142434688419232,95.80556719999996
126.0,180.04412183333332,0.11976854106393935,180.0317725666667,352.29783733333335,0.26637620827004693,352.1689056333333,95.72906716666667,0.24409312656869783,95.7781760333333
127.0,180.0124495,0.15057118318506685,180.02479973333334,351.87722933333333,0.2362591926382511,352.14426303333323,95.8429655,0.31578806477248617,95.78192673333331
128.0,180.081086,0.2180419971037695,180.0387581,352.4272173333333,0.39434994295718284,352.17947123333323,95.85861966666667,0.21549332571180638,95.77621129999997
129.0,179.96872866666666,0.06684629132632743,180.02307476666667,351.7024435,0.26424429890208934,352.09889449999986,95.80954216666666,0.11608035163770303,95.79582836666663
130.0,180.07267066666668,0.15486080471614777,180.03581133333336,352.0240195,0.2833135905895425,352.06574939999985,95.63801383333333,0.08740304178107276,95.77564166666663
