step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.7623367812484503,750.969998,85.0,26349.25,32760.0,129.421,131434.0,3.650944444444444e-05,0.0014603777777777776,3.650944444444444e-05,0.0014603777777777776,5071.68798828125,25560.0,17063.65234375,515475.12890625,0.6,2287.2578125,39026.62109375,102.2,,
2,1.4001362156122923,633.50992,88.0,29493.25,32760.0,198.13,119502.0,3.3195e-05,0.0013278,6.970444444444445e-05,0.0027881777777777777,5071.69580078125,28704.0,17057.0078125,515475.12890625,0.5,2287.2578125,42194.62109375,100.0,,
3,2.040170904248953,633.793625,98.0,29493.25,32760.0,199.44,139016.0,3.8615555555555554e-05,0.0015446222222222222,0.00010831999999999999,0.0043327999999999995,5071.69580078125,28704.0,17057.0078125,515475.12890625,0.5,2287.76171875,42194.62109375,100.1,,
4,2.679664419963956,633.693533,100.0,29493.25,32760.0,202.203,120439.0,3.345527777777778e-05,0.0013382111111111112,0.00014177527777777777,0.005671011111111111,5071.69580078125,28704.0,17056.77734375,515475.12890625,0.5,2287.76953125,42194.62109375,100.0,,
5,3.318989735096693,633.054861,80.0,29493.25,32760.0,198.527,137195.0,3.810972222222222e-05,0.001524388888888889,0.000179885,0.007195399999999999,5071.69580078125,28704.0,17056.5859375,515475.12890625,0.6,2287.8203125,42194.62109375,99.9,,
6,3.960122525691986,633.577982,88.0,29493.25,32760.0,201.554,123009.0,3.4169166666666665e-05,0.0013667666666666665,0.00021405416666666667,0.008562166666666666,5071.69580078125,28704.0,17056.5859375,515475.12890625,0.5,2287.859375,42194.62109375,100.1,,
7,4.602040691301227,636.339316,87.0,29493.25,32760.0,203.27,120169.0,3.338027777777778e-05,0.0013352111111111112,0.00024743444444444445,0.009897377777777777,5071.69580078125,28704.0,17056.5859375,515475.12890625,0.5,2287.9765625,42194.62109375,101.5,,
8,5.24004614725709,633.971659,98.0,29493.25,32760.0,200.427,139621.0,3.878361111111111e-05,0.0015513444444444444,0.0002862180555555556,0.011448722222222221,5071.69580078125,28704.0,17056.83203125,515475.12890625,0.5,2288.02734375,42194.62109375,98.6,,
9,5.877538526430726,632.429798,100.0,29493.25,32760.0,202.149,120088.0,3.3357777777777777e-05,0.0013343111111111111,0.00031957583333333333,0.012783033333333332,5071.69580078125,28704.0,17057.078125,515475.12890625,0.6,2288.0390625,42194.62109375,101.6,,
10,6.518824698403478,633.904608,80.0,29493.25,32760.0,198.055,136937.0,3.8038055555555555e-05,0.0015215222222222222,0.0003576138888888889,0.014304555555555555,5071.69580078125,28704.0,17057.078125,515475.12890625,0.5,2288.10546875,42194.62109375,98.3,,
11,7.159020179882646,633.196463,88.0,29493.25,32760.0,201.284,122753.0,3.4098055555555556e-05,0.0013639222222222222,0.0003917119444444444,0.015668477777777776,5071.69580078125,28704.0,17056.83203125,515475.12890625,0.5,2288.15234375,42195.62109375,100.2,,
12,7.7975860591977835,632.905678,88.0,29493.25,32760.0,203.412,120220.0,3.339444444444444e-05,0.0013357777777777777,0.00042510638888888883,0.017004255555555556,5071.69580078125,28704.0,17057.078125,515475.12890625,0.5,2288.15625,42195.62109375,100.1,,
13,8.437794661149383,633.537241,98.0,29493.25,32760.0,200.546,139512.0,3.8753333333333334e-05,0.0015501333333333334,0.0004638597222222222,0.018554388888888888,5071.69580078125,28704.0,17057.078125,515475.12890625,0.5,2288.234375,42195.62109375,101.6,,
14,9.076635567471385,632.751535,100.0,29493.25,32760.0,202.722,120821.0,3.356138888888889e-05,0.0013424555555555558,0.000497421111111111,0.019896844444444443,5071.69580078125,28704.0,17057.0703125,515475.12890625,0.6,2288.2578125,42195.62109375,100.0,,
15,9.716991851106286,633.198263,80.0,29493.25,32760.0,198.861,137331.0,3.81475e-05,0.0015259,0.0005355686111111111,0.021422744444444444,5071.69580078125,28704.0,17057.0703125,515475.12890625,0.6,2288.265625,42195.62109375,99.9,,
16,10.357848765328526,633.068492,88.0,29493.25,32760.0,201.744,123074.0,3.418722222222222e-05,0.0013674888888888887,0.0005697558333333334,0.022790233333333333,5071.69580078125,28704.0,17057.03515625,515475.12890625,0.5,2288.328125,42195.62109375,100.1,,
17,10.995886934921145,632.097662,89.0,29493.25,32760.0,203.758,120403.0,3.344527777777778e-05,0.0013378111111111111,0.0006032011111111111,0.024128044444444444,5071.69580078125,28704.0,17057.03515625,515475.12890625,0.5,2288.38671875,42195.62109375,100.1,,
