elapsed_sec,gpu_util_mean,gpu_util_std,gpu_mem_used_mean,gpu_mem_used_std,proc_cpu_percent_mean,proc_cpu_percent_std,sys_cpu_percent_mean,sys_cpu_percent_std,step_energy_kwh_mean,step_energy_kwh_std,cumulative_gpu_energy_kwh_mean,cumulative_gpu_energy_kwh_std
0.0,54.666666666666664,13.576941236277534,8637.25,0.0,106.4,0.4358898943540719,0.6,0.0,1.3210740740740741e-05,2.1430379910948197e-06,1.3210740740740741e-05,2.1430379910948197e-06
1.0,84.33333333333333,4.041451884327381,11391.25,0.0,100.16666666666667,0.2254624876411529,0.5,0.0,3.4138657407407406e-05,2.8848761872908743e-06,6.486671296296297e-05,3.7954884822549555e-06
2.0,81.66666666666667,2.516611478423583,11391.25,0.0,99.3,0.9848857801796057,0.5,0.0,3.355305555555556e-05,3.0101833339023863e-07,0.00011504111111111111,7.874168744095712e-06
3.0,84.16666666666667,1.8929694486000912,11391.25,0.0,100.73333333333333,0.1527525231652015,0.5,0.0,3.516962962962963e-05,3.4511787671711894e-06,0.000162965,7.3188678206876765e-06
4.0,84.0,2.0,11391.25,0.0,99.68333333333334,0.07637626158260075,0.5166666666666667,0.028867513459481315,3.40249537037037e-05,4.78501783946754e-06,0.00021224981481481482,7.69220902813428e-06
5.0,82.33333333333333,2.516611478423583,11391.25,0.0,99.73333333333333,0.40414518843273967,0.5,0.0,3.6017037037037036e-05,2.5508024235748323e-06,0.0002522799074074074,2.418235351879173e-06
6.0,83.66666666666667,1.2583057392117918,11391.25,0.0,100.03333333333333,0.29297326385411526,0.55,0.0,3.5834583333333334e-05,8.057900041972477e-07,0.0003060093981481482,2.3924676251620816e-06
7.0,84.66666666666667,5.8594652770823155,11391.25,0.0,100.43333333333334,0.4725815626252555,0.5,0.0,3.680648148148148e-05,2.399127643883522e-06,0.00036075555555555554,3.490185887723499e-06
8.0,83.83333333333333,6.006940430313366,11391.25,0.0,99.53333333333333,0.4725815626252636,0.5166666666666667,0.028867513459481315,3.3603055555555555e-05,4.693920845224657e-06,0.000399950462962963,7.139219930355981e-06
9.0,83.0,1.3228756555322954,11391.25,0.0,100.15,0.409267638593621,0.5,0.0,3.664833333333333e-05,1.5898941252408328e-06,0.0004524713888888889,5.6364240986968336e-06
10.0,85.33333333333333,1.1547005383792515,11391.25,0.0,100.06666666666666,0.814452781524707,0.5,0.0,3.539592592592593e-05,2.12783663853409e-06,0.0004997906481481482,6.666873360993313e-06
11.0,83.16666666666667,1.2583057392117918,11391.25,0.0,100.1,0.45825756949558744,0.5,0.0,3.644203703703703e-05,2.8363628728898247e-06,0.0005420577777777778,4.248970636053998e-06
12.0,83.66666666666667,4.041451884327381,11391.25,0.0,100.15,0.3500000000000014,0.5166666666666667,0.028867513459481315,3.3232037037037035e-05,3.3364057869364266e-06,0.0005939820833333333,6.421872321723073e-06
13.0,82.83333333333333,1.6072751268321592,11391.25,0.0,99.73333333333333,0.2081665999466151,0.5,0.0,3.550412037037037e-05,5.045625684501052e-06,0.000643370462962963,7.220394054585847e-06
14.0,86.83333333333333,3.8837267325770144,11391.25,0.0,100.05,0.22912878474779294,0.5166666666666667,0.028867513459481315,3.4724953703703706e-05,4.4416639790775485e-06,0.0006953340277777777,4.398908129027433e-06
15.0,85.66666666666667,4.041451884327381,11391.25,0.0,100.53333333333333,1.8175074506954105,0.6,0.17320508075688776,3.0795185185185185e-05,5.513800071586191e-06,0.0007366861111111112,7.199849556898767e-06
16.0,84.0,0.5,11391.25,0.0,99.95,0.4582575694955812,0.5333333333333333,0.028867513459481315,3.6379305555555554e-05,3.422049734109112e-07,0.000791037824074074,6.725624033551759e-06
17.0,80.33333333333333,1.1547005383792515,11391.25,0.0,100.16666666666667,0.7371114795832004,0.5,0.0,3.386462962962963e-05,8.71416486180307e-07,0.0008433093518518519,6.974609663916141e-06
18.0,84.33333333333333,1.8929694486000912,11391.25,0.0,100.48333333333333,0.5751811308912422,0.5,0.0,3.500560185185185e-05,3.825890853687713e-06,0.000891015462962963,1.907808563083413e-06
19.0,85.33333333333333,2.516611478423583,11391.25,0.0,99.6,0.4582575694955859,0.5166666666666667,0.028867513459481315,3.2642638888888886e-05,7.685686922348854e-06,0.0009389063425925926,1.0425989261924347e-05
20.0,84.5,3.122498999199199,11391.25,0.0,100.21666666666667,0.30138568866708243,0.5,0.0,3.482814814814815e-05,1.185980650297745e-06,0.0009858060648148149,9.487807777272217e-06
21.0,82.5,3.122498999199199,11391.25,0.0,99.83333333333334,0.1154700538379268,0.5,0.0,3.506305555555555e-05,1.2359348501048522e-06,0.0010336950925925927,2.6421851099704198e-06
22.0,83.16666666666667,3.0138568866708537,11391.25,0.0,100.26666666666667,0.5507570547286116,0.5,0.0,3.5913796296296296e-05,1.1812469897843062e-06,0.0010882182407407407,1.7541238961385993e-06
23.0,86.0,3.4641016151377544,11391.25,0.0,99.9,1.3527749258468695,0.5,0.0,3.376277777777778e-05,8.061862263035022e-06,0.0011334028703703703,7.542885420928135e-06
24.0,84.16666666666667,1.7559422921421233,11391.25,0.0,99.6,1.0535653752852714,0.5,0.0,3.552777777777778e-05,1.1583885628320043e-06,0.001180290462962963,5.095730311360965e-06
25.0,83.0,2.6457513110645907,11391.25,0.0,100.18333333333334,0.7112196097783959,0.5166666666666667,0.028867513459481315,3.467893518518519e-05,1.817727701177371e-06,0.0012335332870370371,4.296067067889192e-06
26.0,80.33333333333333,2.309401076758503,11391.25,0.0,100.73333333333333,0.8962886439832484,0.5,0.0,3.543638888888889e-05,2.3498516501638538e-06,0.0012753822222222224,7.996889041147142e-06
