step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.4796288963407278,468.16481,156.696697,209.07471,102.224189,-1e-06,12.09273624420166
2,0.8521103598177433,364.712429,81.552004,186.880408,95.519984,-1e-06,12.091164588928223
3,1.2189673855900764,366.200935,81.596885,187.077051,96.818287,-1e-06,12.046172142028809
4,1.5920088570564985,364.955713,81.533664,186.873437,95.753109,-1e-06,12.072253227233887
5,1.9568876884877682,364.244841,81.535514,186.42235,95.547995,-1e-06,12.065421104431152
6,2.326813919469714,365.425491,81.840879,186.844098,95.779738,-1e-06,12.083104133605957
7,2.692895818501711,365.322159,81.373771,187.078922,96.125874,-1e-06,12.126119613647461
8,3.060697343200445,364.868111,81.770517,186.695585,95.587605,-1e-06,12.092121124267578
9,3.426318947225809,364.956014,81.297729,186.827617,96.078794,-1e-06,12.144861221313477
10,3.7932844553142786,364.092848,81.427292,186.413859,95.490394,-1e-06,12.160608291625977
11,4.160097628831863,366.111143,81.571014,187.245404,96.525772,-1e-06,12.160249710083008
12,4.530431184917688,364.388683,81.31851,186.4472,95.86928,-1e-06,12.222580909729004
13,4.898662842810154,367.539447,81.505053,189.439092,95.84924,-1e-06,12.204496383666992
14,5.270591467618942,364.560936,81.379531,186.46395,95.958882,-1e-06,12.26014518737793
15,5.637180598452687,365.877179,81.711307,186.892398,96.533701,-1e-06,12.264166831970215
16,6.009279076009989,364.303921,81.411821,186.513561,95.598595,-1e-06,12.283758163452148
17,6.373939771205187,363.967846,81.429362,186.335958,95.455013,-1e-06,12.403139114379883
18,6.743780590593815,366.619771,81.607085,188.342453,95.887851,-1e-06,12.480539321899414
19,7.109863571822643,365.37781,81.424761,186.769956,96.43608,-1e-06,12.478429794311523
20,7.476488675922155,363.711722,81.478393,186.108985,95.376752,-1e-06,12.549534797668457
21,7.841841096058488,364.660818,81.602565,186.340219,95.932831,-1e-06,12.561701774597168
22,8.20964546687901,363.770293,81.445472,186.171325,95.394252,-1e-06,12.646055221557617
23,8.57620669528842,365.863378,81.496712,186.40863,97.224883,-1e-06,12.664852142333984
24,8.949150806292892,364.266901,81.383391,186.248277,95.885921,-1e-06,12.691967964172363
25,9.314840573817492,365.011603,81.493462,186.872378,95.915741,-1e-06,12.76300048828125
26,9.682866606861353,365.139006,81.367491,186.328129,96.43181,-1e-06,12.863534927368164
27,10.049081092700362,365.33525,81.572744,186.806556,96.097674,-1e-06,12.87275505065918
28,10.415466221049428,363.439347,81.548014,185.862671,95.28033,-1e-06,12.933725357055664
29,10.78034671023488,364.167809,81.643935,186.100574,95.679877,-1e-06,12.955628395080566
30,11.148492410779,363.506228,81.31721,186.158205,95.243999,-1e-06,12.948868751525879
31,11.514538383111358,365.35477,81.411942,186.41861,96.761096,-1e-06,12.921737670898438
32,11.881285166367888,363.931465,81.387101,186.448031,95.358711,-1e-06,12.933207511901855
33,12.24654195457697,364.542336,81.255269,186.700304,95.809839,-1e-06,12.921432495117188
34,12.612938171252608,363.554809,81.441862,185.810079,95.532865,-1e-06,12.939562797546387
35,12.978638399392366,365.024024,81.696256,186.617303,95.943302,-1e-06,12.946418762207031
36,13.348636258393526,364.293692,81.405202,186.072824,95.996473,-1e-06,12.988691329956055
37,13.713382566347718,363.964456,81.434352,185.816829,95.970592,-1e-06,12.942351341247559
38,14.080149641260505,363.762712,81.356841,186.027593,95.609775,-1e-06,12.945629119873047
