step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.4775561932474375,468.16889,80.0,14535.25,32760.0,84.399,79939.0,2.2205277777777778e-05,0.0008882111111111111,2.2205277777777778e-05,0.0008882111111111111,5070.90673828125,13746.0,17030.23046875,515475.12890625,0.6,2213.03125,27242.953125,101.6,,
3,1.2168753929436207,366.202235,88.0,17681.25,32760.0,188.472,133225.0,3.700694444444444e-05,0.0014802777777777776,5.921222222222222e-05,0.002368488888888889,5070.91455078125,16892.0,17030.9296875,515475.12890625,0.5,2213.18359375,30442.953125,100.0,,
5,1.9547869972884655,364.246771,95.0,17681.25,32760.0,190.873,135091.0,3.752527777777778e-05,0.0015010111111111112,9.67375e-05,0.0038695,5070.91455078125,16892.0,17030.9296875,515475.12890625,0.5,2213.46484375,30442.953125,99.6,,
7,2.6908172760158777,365.323339,95.0,17681.25,32760.0,192.212,148361.0,4.121138888888889e-05,0.0016484555555555556,0.0001379488888888889,0.005517955555555556,5070.91455078125,16892.0,17030.9296875,515475.12890625,0.5,2213.52734375,30442.953125,100.5,,
9,3.424227623268962,364.957664,88.0,17681.25,32760.0,191.824,133095.0,3.6970833333333335e-05,0.0014788333333333333,0.00017491972222222224,0.00699678888888889,5070.91455078125,16892.0,17031.17578125,515475.12890625,0.5,2213.5859375,30442.953125,100.9,,
11,4.157996324822307,366.112223,95.0,17681.25,32760.0,191.825,134916.0,3.7476666666666666e-05,0.0014990666666666666,0.0002123963888888889,0.008495855555555556,5070.91455078125,16892.0,17031.171875,515475.12890625,0.5,2213.625,30442.953125,99.1,,
13,4.896570360288024,367.540897,97.0,17681.25,32760.0,191.67,149474.0,4.1520555555555555e-05,0.0016608222222222221,0.00025391694444444444,0.010156677777777779,5070.91455078125,16892.0,17031.171875,515475.12890625,0.5,2213.6796875,30442.953125,100.0,,
15,5.6350888051092625,365.878919,88.0,17681.25,32760.0,191.532,135130.0,3.753611111111111e-05,0.0015014444444444444,0.00029145305555555555,0.011658122222222223,5070.91455078125,16892.0,17031.171875,515475.12890625,0.5,2213.7109375,30442.953125,100.1,,
17,6.371847838163376,363.969236,90.0,17681.25,32760.0,192.322,147974.0,4.110388888888889e-05,0.0016441555555555556,0.00033255694444444444,0.01330227777777778,5070.91455078125,16892.0,17031.12890625,515475.12890625,0.5,2213.765625,30442.953125,99.7,,
19,7.107772048562765,365.3792,99.0,17681.25,32760.0,192.016,135210.0,3.7558333333333336e-05,0.0015023333333333334,0.0003701152777777778,0.014804611111111112,5070.91455078125,16892.0,17031.12890625,515475.12890625,0.5,2213.80078125,30442.953125,100.6,,
21,7.839762868359685,364.665318,88.0,17681.25,32760.0,191.925,135237.0,3.756583333333333e-05,0.0015026333333333333,0.0004076811111111111,0.016307244444444445,5070.91455078125,16892.0,17031.08984375,515475.12890625,0.7,2213.8515625,30442.953125,99.6,,
23,8.574123471975327,365.864808,90.0,17681.25,32760.0,191.655,148044.0,4.112333333333333e-05,0.0016449333333333333,0.00044880444444444443,0.01795217777777778,5070.91455078125,16892.0,17030.30078125,515475.12890625,0.5,2213.88671875,30442.953125,100.1,,
25,9.312747899442911,365.012704,100.0,17681.25,32760.0,191.2,133545.0,3.709583333333333e-05,0.0014838333333333333,0.00048590027777777777,0.019436011111111113,5070.91455078125,16892.0,17030.30078125,515475.12890625,0.5,2213.88671875,30442.953125,101.0,,
27,10.046990567818284,365.33529,88.0,17681.25,32760.0,191.49,135927.0,3.77575e-05,0.0015103,0.0005236577777777778,0.020946311111111112,5070.91455078125,16892.0,17030.30078125,515475.12890625,0.5,2213.98828125,30442.953125,99.4,,
29,10.778253959491849,364.169019,81.0,17681.25,32760.0,191.632,147492.0,4.097e-05,0.0016388000000000002,0.0005646277777777778,0.02258511111111111,5070.91455078125,16892.0,17030.0859375,515475.12890625,0.6,2213.9921875,30442.953125,99.6,,
31,11.512437418103218,365.35609,100.0,17681.25,32760.0,192.105,134432.0,3.734222222222222e-05,0.0014936888888888889,0.00060197,0.0240788,5070.91455078125,16892.0,17030.33203125,515475.12890625,0.5,2214.08203125,30443.953125,99.7,,
33,12.24444979056716,364.544056,88.0,17681.25,32760.0,192.527,135965.0,3.776805555555555e-05,0.0015107222222222221,0.0006397380555555555,0.025589522222222223,5070.91455078125,16892.0,17030.33203125,515475.12890625,0.5,2214.11328125,30443.953125,101.1,,
35,12.976547064259648,365.025384,80.0,17681.25,32760.0,191.99,147931.0,4.109194444444445e-05,0.001643677777777778,0.00068083,0.027233200000000003,5070.91455078125,16892.0,17030.8125,515475.12890625,0.5,2214.1484375,30443.953125,100.7,,
37,13.71129054389894,363.965686,100.0,17681.25,32760.0,191.936,134329.0,3.731361111111111e-05,0.0014925444444444445,0.0007181436111111111,0.028725744444444447,5070.91455078125,16892.0,17030.8125,515475.12890625,0.5,2214.203125,30443.953125,99.7,,
39,14.443183625116944,364.445354,88.0,17681.25,32760.0,192.547,136062.0,3.7795e-05,0.0015118,0.0007559386111111111,0.030237544444444448,5070.91455078125,16892.0,17030.8125,515475.12890625,0.5,2214.203125,30443.953125,99.8,,
41,15.174490904435515,364.052698,80.0,17681.25,32760.0,192.268,148075.0,4.113194444444445e-05,0.0016452777777777778,0.0007970705555555555,0.031882822222222225,5070.91455078125,16892.0,17030.8125,515475.12890625,0.5,2214.30078125,30443.953125,99.2,,
43,15.911216877400875,365.215578,100.0,17681.25,32760.0,192.107,134214.0,3.7281666666666666e-05,0.0014912666666666665,0.0008343522222222222,0.03337408888888889,5070.91455078125,16892.0,17030.8125,515475.12890625,0.5,2214.33984375,30443.953125,101.0,,
45,16.643289171159267,364.250481,88.0,17681.25,32760.0,192.568,136157.0,3.782138888888889e-05,0.0015128555555555556,0.0008721736111111111,0.03488694444444444,5070.91455078125,16892.0,17031.0546875,515475.12890625,0.5,2214.3828125,30443.953125,99.7,,
47,17.37642615288496,364.953933,81.0,17681.25,32760.0,192.313,148094.0,4.113722222222222e-05,0.0016454888888888888,0.0009133108333333333,0.03653243333333333,5070.91455078125,16892.0,17031.0546875,515475.12890625,0.5,2214.43359375,30443.953125,100.7,,
49,18.11003445275128,364.524716,100.0,17681.25,32760.0,192.256,134499.0,3.7360833333333337e-05,0.0014944333333333335,0.0009506716666666667,0.038026866666666666,5070.91455078125,16892.0,17031.0546875,515475.12890625,0.5,2214.47265625,30443.953125,99.7,,
51,18.843065053224564,364.964173,88.0,17681.25,32760.0,192.784,136157.0,3.782138888888889e-05,0.0015128555555555556,0.0009884930555555556,0.03953972222222222,5070.91455078125,16892.0,17031.0546875,515475.12890625,0.5,2214.51953125,30443.953125,99.6,,
53,19.573719961568713,363.855014,80.0,17681.25,32760.0,192.207,147962.0,4.1100555555555555e-05,0.0016440222222222222,0.0010295936111111112,0.04118374444444444,5070.91455078125,16892.0,17031.0546875,515475.12890625,0.5,2214.51953125,30443.953125,100.8,,
55,20.309938544407487,364.449315,100.0,17681.25,32760.0,191.982,134334.0,3.7315e-05,0.0014926,0.0010669086111111112,0.04267634444444444,5070.91455078125,16892.0,17031.046875,515475.12890625,0.5,2214.59375,30443.953125,99.6,,
57,21.04112863354385,363.907295,88.0,17681.25,32760.0,192.964,136262.0,3.785055555555556e-05,0.0015140222222222222,0.0011047591666666669,0.04419036666666666,5070.91455078125,16892.0,17031.29296875,515475.12890625,0.5,2214.59375,30443.953125,99.8,,
59,21.7736753243953,365.257108,80.0,17681.25,32760.0,192.489,148224.0,4.1173333333333334e-05,0.0016469333333333333,0.0011459325000000003,0.0458373,5070.91455078125,16892.0,17031.046875,515475.12890625,0.5,2214.66796875,30443.953125,100.6,,
61,22.5078728441149,364.056717,100.0,17681.25,32760.0,192.282,134427.0,3.7340833333333333e-05,0.0014936333333333334,0.0011832733333333337,0.04733093333333333,5070.91455078125,16892.0,17031.046875,515475.12890625,0.5,2214.66796875,30443.953125,99.8,,
63,23.239865897223353,364.19772,88.0,17681.25,32760.0,192.538,136136.0,3.7815555555555555e-05,0.0015126222222222223,0.0012210888888888893,0.04884355555555556,5070.91455078125,16892.0,17031.046875,515475.12890625,0.5,2214.78125,30443.953125,99.7,,
