step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.4847043249756098,472.705877,164.139265,206.582767,101.819033,-1e-06,12.09273624420166
2,0.8536308947950602,365.251398,81.593975,186.792726,96.110624,-1e-06,12.091200828552246
3,1.2193692717701197,365.077946,81.687656,186.755016,95.946872,-1e-06,12.046112060546875
4,1.5916764810681343,364.870441,81.497873,186.639623,95.949282,-1e-06,12.072269439697266
5,1.9578608237206936,365.524352,81.428481,186.474711,96.799536,-1e-06,12.06544017791748
6,2.3259163796901703,365.012914,81.664126,186.695564,95.752729,-1e-06,12.083109855651855
7,2.690806493163109,364.19666,81.372731,186.627413,95.461303,-1e-06,12.12613582611084
8,3.058156907558441,364.517405,81.616835,186.48749,95.633656,-1e-06,12.092127799987793
9,3.423368724063039,364.538896,81.495463,186.689254,95.598396,-1e-06,12.144972801208496
10,3.7951168958097696,368.446193,81.393271,186.684575,99.190657,-1e-06,12.160717964172363
11,4.161426659673452,365.619625,81.862449,186.712745,96.265927,-1e-06,12.160236358642578
12,4.53059465624392,364.606728,81.37848,186.44177,96.025662,-1e-06,12.222665786743164
13,4.895838376134634,364.561166,81.479113,186.598662,95.734258,-1e-06,12.204477310180664
14,5.263588786125183,364.8194,81.483402,186.745556,95.827799,-1e-06,12.260171890258789
15,5.63149194046855,367.201331,81.305319,186.558932,95.744279,-1e-06,12.2643404006958
16,5.9988634046167135,364.278781,81.745107,186.325338,95.446593,-1e-06,12.283720970153809
17,6.363887427374721,364.341422,81.36088,186.526492,95.648707,-1e-06,12.402994155883789
18,6.732158048078418,365.36373,81.363971,186.943388,96.259867,-1e-06,12.480377197265625
19,7.097550868988037,364.679528,81.90407,186.642304,95.380082,-1e-06,12.478322982788086
20,7.469136346131563,364.18263,81.33846,186.246097,95.84561,-1e-06,12.549581527709961
21,7.834002168849111,364.180229,81.452192,186.129294,95.84789,-1e-06,12.5615816116333
22,8.201757948845625,364.996404,81.707257,186.577033,95.954002,-1e-06,12.64572525024414
23,8.56668209284544,364.250551,81.261109,186.611373,95.637826,-1e-06,12.664631843566895
24,8.933372873812914,363.839544,81.483183,186.156075,95.461543,-1e-06,12.691661834716797
25,9.298669943585992,364.601507,81.726637,186.366499,95.768668,-1e-06,12.762823104858398
26,9.66910975985229,364.650737,81.459052,186.468871,95.888301,-1e-06,12.863414764404297
27,10.033957432955503,364.044728,81.625236,186.166876,95.496994,-1e-06,12.872591018676758
28,10.401146471500397,364.334882,81.442432,186.546592,95.591095,-1e-06,12.93349838256836
29,10.766383031383157,364.436154,81.32448,186.611763,95.744828,-1e-06,12.955467224121094
30,11.133466511964798,364.149179,81.452102,186.183296,95.739208,-1e-06,12.948716163635254
31,11.500331748276949,366.160534,81.687426,186.442601,97.124452,-1e-06,12.921600341796875
