step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
21,7.8319154642522335,364.181269,90.0,17681.25,32760.0,192.203,148156.0,4.115444444444444e-05,0.0016461777777777777,0.00040917083333333337,0.016366833333333334,5070.91455078125,16892.0,17018.60546875,515475.12890625,0.5,2216.3671875,30444.0546875,99.7,,
23,8.564603947103024,364.251771,100.0,17681.25,32760.0,192.64,135762.0,3.771166666666667e-05,0.0015084666666666667,0.0004468825,0.0178753,5070.91455078125,16892.0,17018.59375,515475.12890625,0.5,2216.3671875,30444.0546875,99.6,,
25,9.296593070030212,364.602187,88.0,17681.25,32760.0,192.6,135573.0,3.765916666666667e-05,0.0015063666666666666,0.0004845416666666667,0.019381666666666665,5070.91455078125,16892.0,17018.59375,515475.12890625,0.5,2216.4609375,30444.0546875,99.3,,
27,10.031891079619527,364.042478,90.0,17681.25,32760.0,192.372,148456.0,4.1237777777777776e-05,0.001649511111111111,0.0005257794444444444,0.021031177777777778,5070.91455078125,16892.0,17018.83984375,515475.12890625,0.5,2216.5390625,30444.0546875,101.0,,
29,10.764304008334875,364.437424,100.0,17681.25,32760.0,192.596,135594.0,3.7665e-05,0.0015065999999999999,0.0005634444444444444,0.022537777777777778,5070.91455078125,16892.0,17018.83984375,515475.12890625,0.5,2216.5703125,30444.0546875,101.0,,
31,11.498255232349038,366.163114,88.0,17681.25,32760.0,192.428,135628.0,3.767444444444444e-05,0.0015069777777777776,0.0006011188888888889,0.024044755555555554,5070.91455078125,16892.0,17019.0859375,515475.12890625,0.6,2216.62109375,30444.0546875,99.3,,
33,12.230728890746832,363.671471,90.0,17681.25,32760.0,192.127,148341.0,4.120583333333333e-05,0.0016482333333333332,0.0006423247222222222,0.025692988888888886,5070.91455078125,16892.0,17019.0859375,515475.12890625,0.5,2216.67578125,30444.0546875,99.8,,
35,12.962290897965431,363.472307,100.0,17681.25,32760.0,192.55,135556.0,3.7654444444444446e-05,0.0015061777777777778,0.0006799791666666667,0.027199166666666663,5070.91455078125,16892.0,17019.109375,515475.12890625,0.6,2216.69921875,30444.0546875,99.8,,
37,13.693882184103131,364.275701,88.0,17681.25,32760.0,192.619,135446.0,3.762388888888889e-05,0.0015049555555555556,0.0007176030555555556,0.02870412222222222,5070.91455078125,16892.0,17019.109375,515475.12890625,0.5,2216.69921875,30444.0546875,99.2,,
39,14.429881112650037,363.744982,90.0,17681.25,32760.0,192.409,148301.0,4.1194722222222225e-05,0.001647788888888889,0.0007587977777777778,0.03035191111111111,5070.91455078125,16892.0,17019.109375,515475.12890625,0.5,2216.80859375,30444.0546875,101.1,,
41,15.161636540666223,364.249891,100.0,17681.25,32760.0,192.787,135890.0,3.774722222222222e-05,0.0015098888888888887,0.0007965450000000001,0.031861799999999996,5070.91455078125,16892.0,17019.109375,515475.12890625,0.5,2216.85546875,30444.0546875,101.1,,
43,15.893877416849136,364.432174,88.0,17681.25,32760.0,192.474,135294.0,3.7581666666666666e-05,0.0015032666666666666,0.0008341266666666668,0.033365066666666665,5070.91455078125,16892.0,17019.35546875,515475.12890625,0.5,2216.85546875,30444.0546875,99.2,,
45,16.628413243219256,364.051328,90.0,17681.25,32760.0,192.197,148311.0,4.11975e-05,0.0016478999999999999,0.0008753241666666668,0.035012966666666666,5070.91455078125,16892.0,17019.35546875,515475.12890625,0.5,2216.85546875,30444.0546875,101.2,,
47,17.36053678765893,363.738242,99.0,17681.25,32760.0,192.583,135880.0,3.7744444444444446e-05,0.0015097777777777779,0.0009130686111111113,0.03652274444444444,5070.91455078125,16892.0,17019.35546875,515475.12890625,0.5,2216.96875,30444.0546875,98.4,,
49,18.09166419506073,363.855365,88.0,17681.25,32760.0,192.875,135572.0,3.765888888888889e-05,0.0015063555555555556,0.0009507275000000002,0.038029099999999996,5070.91455078125,16892.0,17019.35546875,515475.12890625,0.5,2217.015625,30444.0546875,100.6,,
51,18.828682443127036,364.513235,90.0,17681.25,32760.0,192.489,148263.0,4.1184166666666664e-05,0.0016473666666666667,0.0009919116666666668,0.03967646666666666,5070.91455078125,16892.0,17019.109375,515475.12890625,0.5,2217.0703125,30444.0546875,99.7,,
