step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7689303141087294,746.293672,269.665051,374.152263,102.300166,-1e-06,12.092621803283691
2,1.4064961429685354,634.486248,180.737971,356.227583,96.701831,-1e-06,12.059147834777832
3,2.047114133834839,636.555753,180.889963,358.884857,96.050611,-1e-06,12.063668251037598
4,2.684309847652912,633.96386,180.778631,356.11281,96.292175,-1e-06,12.085232734680176
5,3.322698788717389,633.660264,180.743801,355.665693,96.521609,-1e-06,12.071734428405762
6,3.9627765212208033,633.892068,180.953304,355.979388,96.188042,-1e-06,12.09195327758789
7,4.603740178048611,634.01864,180.890233,356.06357,96.254324,-1e-06,12.09205436706543
8,5.243279809132218,634.086871,181.024545,356.416266,95.893318,-1e-06,12.101938247680664
9,5.883526222780347,634.944345,180.857843,355.44121,97.698908,-1e-06,12.17421817779541
10,6.52219120413065,633.96489,181.056515,355.599333,96.425427,-1e-06,12.18421745300293
11,7.161791305989027,633.907088,180.844032,355.52576,96.753922,-1e-06,12.202839851379395
12,7.802614089101553,633.913488,180.853122,355.649583,96.659491,-1e-06,12.205900192260742
13,8.440819971263409,633.019754,180.837942,355.43725,95.994619,-1e-06,12.251527786254883
14,9.081697195768356,634.273353,180.844302,356.205841,96.431926,-1e-06,12.265902519226074
15,9.720064148306847,632.673137,180.934694,354.961291,96.03549,-1e-06,12.269136428833008
16,10.36020833067596,633.246507,180.801301,355.630053,96.041161,-1e-06,12.282620429992676
17,11.001094594597816,633.375479,180.758361,355.808085,96.051681,-1e-06,12.430245399475098
18,11.640527734532952,633.651434,180.891252,355.714894,96.291644,-1e-06,12.519404411315918
19,12.280114319175482,633.691785,180.786711,355.768016,96.321635,-1e-06,12.545330047607422
20,12.919852934777737,633.307059,180.817102,355.619552,96.126142,-1e-06,12.5528564453125
21,13.55895971879363,632.796029,181.043436,355.156115,95.843897,-1e-06,12.620148658752441
22,14.201390530914068,634.59787,180.852053,356.108711,96.6901,-1e-06,12.620911598205566
23,14.839152082800865,633.119935,181.039086,355.316807,95.930189,-1e-06,12.7177095413208
24,15.478367840871215,633.002292,180.855022,355.246246,96.122772,-1e-06,12.797802925109863
25,16.117332115769386,632.005506,180.843632,354.86578,95.551651,-1e-06,12.877017974853516
26,16.75777885131538,632.967063,180.881482,354.982512,96.317065,-1e-06,12.898231506347656
27,17.398879140615463,633.024002,180.985824,355.092603,96.193973,-1e-06,12.937057495117188
28,18.037121791392565,632.28641,180.871782,354.786798,95.869338,-1e-06,12.979226112365723
29,18.676552483811975,632.277661,180.801262,354.893351,95.838177,-1e-06,13.0114164352417
30,19.317361308261752,633.278267,181.040005,355.384908,96.066661,-1e-06,13.002949714660645
31,19.956546103581786,632.493394,180.864193,354.90558,95.952538,-1e-06,12.986066818237305
32,20.597074491903186,632.246081,180.911283,354.656847,95.924769,-1e-06,13.044085502624512
