step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.7669423576444387,746.294772,78.0,26349.25,32760.0,132.601,137448.0,3.818e-05,0.0015271999999999998,3.818e-05,0.0015271999999999998,5071.68798828125,25560.0,17059.484375,515475.12890625,0.6,2288.78125,39026.48828125,103.0,,
2,1.4045056272298098,634.487788,88.0,29493.25,32760.0,197.087,122381.0,3.399472222222222e-05,0.0013597888888888887,7.217472222222222e-05,0.0028869888888888888,5071.69580078125,28704.0,17059.484375,515475.12890625,0.5,2289.2734375,42194.48828125,100.2,,
3,2.04512226767838,636.557233,87.0,29493.25,32760.0,203.223,120063.0,3.335083333333333e-05,0.0013340333333333333,0.00010552555555555556,0.004221022222222222,5071.69580078125,28704.0,17059.484375,515475.12890625,0.5,2289.5,42194.48828125,100.1,,
4,2.682316578924656,633.96503,98.0,29493.25,32760.0,200.353,139399.0,3.872194444444444e-05,0.0015488777777777777,0.0001442475,0.0057699,5071.69580078125,28704.0,17059.484375,515475.12890625,0.5,2289.5703125,42194.48828125,98.6,,
5,3.3207061141729355,633.661544,100.0,29493.25,32760.0,202.386,120590.0,3.349722222222222e-05,0.0013398888888888887,0.0001777447222222222,0.007109788888888888,5071.69580078125,28704.0,17059.484375,515475.12890625,0.5,2289.5703125,42194.48828125,101.6,,
6,3.9607925452291965,633.893618,80.0,29493.25,32760.0,198.529,137172.0,3.810333333333333e-05,0.0015241333333333332,0.00021584805555555553,0.008633922222222222,5071.69580078125,28704.0,17059.484375,515475.12890625,0.5,2289.65234375,42194.48828125,99.9,,
7,4.601782463490963,634.02481,88.0,29493.25,32760.0,201.756,123141.0,3.420583333333333e-05,0.001368233333333333,0.00025005388888888885,0.010002155555555555,5071.69580078125,28704.0,17059.484375,515475.12890625,0.5,2289.734375,42194.48828125,98.5,,
8,5.241310415789485,634.086841,88.0,29493.25,32760.0,203.638,120367.0,3.343527777777778e-05,0.0013374111111111111,0.00028348916666666663,0.011339566666666667,5071.69580078125,28704.0,17059.7265625,515475.12890625,0.7,2289.78125,42195.48828125,101.7,,
9,5.881556266918778,634.945545,98.0,29493.25,32760.0,200.575,139597.0,3.877694444444445e-05,0.0015510777777777778,0.00032226611111111107,0.012890644444444445,5071.69580078125,28704.0,17059.7265625,515475.12890625,0.6,2289.828125,42195.48828125,100.1,,
10,6.520208917558193,633.96613,100.0,29493.25,32760.0,202.454,120447.0,3.34575e-05,0.0013383000000000002,0.00035572361111111105,0.014228944444444445,5071.69580078125,28704.0,17059.7265625,515475.12890625,0.5,2289.87890625,42195.48828125,100.0,,
11,7.159798780456185,633.908547,80.0,29493.25,32760.0,198.832,137276.0,3.8132222222222225e-05,0.001525288888888889,0.00039385583333333325,0.015754233333333333,5071.69580078125,28704.0,17059.7265625,515475.12890625,0.5,2289.91015625,42195.48828125,99.9,,
12,7.80062953568995,633.914748,88.0,29493.25,32760.0,201.594,123045.0,3.4179166666666666e-05,0.0013671666666666667,0.0004280349999999999,0.0171214,5071.69580078125,28704.0,17059.7265625,515475.12890625,0.5,2289.91015625,42195.48828125,100.1,,
