batch_size,profile,duration_mean_sec,duration_std_sec,overhead_pct,overhead_pct_std,end_to_end_energy_kwh_mean,end_to_end_energy_kwh_std,steps_per_sec_mean,steps_per_sec_std,samples_per_sec_mean,samples_per_sec_std,energy_per_step_kwh_mean,energy_per_step_kwh_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,optimizer_step_ms_mean,optimizer_step_ms_std
4,A,310.25778065165895,0.5935170839912158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,B,314.8806890309982,0.20875362962857089,1.4900217392225925,0.06728393053998812,0.04566279936629277,1.5790777214137148e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,C,309.66644484332454,0.17593557484866063,-0.190594997196324,0.056706257125648626,0.014607889444444454,1.0162565000624867e-05,4.050036493660243,0.002260628121372563,16.20014597464097,0.009042512485490251,1.2016361307459256e-05,7.1189187169206565e-09,42.9722854000837,0.004653205158246739,105.30066266503096,0.13441151575552435,95.95028461902119,0.23834708571089241
8,A,310.07551252333604,0.34595262850681946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,B,314.59954697066377,0.1427145828966947,1.459010552143245,0.04602575086800965,0.04701759780410687,2.653313365382451e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,C,310.2553801033064,0.5979189754788095,0.05800766997258384,0.19283011761008073,0.01589664407407408,5.224740500481915e-06,2.7383951020890156,0.001143481395948665,21.907160816712125,0.00914785116758932,1.9338983058484283e-05,6.356131995720762e-09,81.55083800324405,0.005234577116298441,184.69477799837796,0.030453535099074197,95.74515209854017,0.07193102528790803
16,A,309.66192480834434,0.45266140189871595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,B,314.6396173516793,0.26956846898448356,1.607460312214928,0.08705250706922545,0.047843453603066265,2.7898321666139525e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,C,309.6916641823288,0.48054819167091073,0.009603820037888547,0.15518478481599932,0.016731869444444446,1.1902556101270414e-05,1.5796131910480768,0.0007914957870407928,25.27381105676923,0.012663932592652685,3.52745194508188e-05,3.507082240300823e-08,180.25332277203196,0.08588244154078142,352.079341277224,0.10371713784998751,95.8957019187357,0.1857372702165171
