step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.7701163832098246,760.903603,94.0,26349.25,32760.0,130.63,132919.0,3.6921944444444445e-05,0.0014768777777777779,3.6921944444444445e-05,0.0014768777777777779,5071.68798828125,25560.0,17166.37890625,515475.12890625,0.7,2391.1015625,39156.796875,101.2,,
2,1.4061069507151842,632.661843,100.0,29493.25,32760.0,197.305,120229.0,3.339694444444445e-05,0.001335877777777778,7.031888888888889e-05,0.0028127555555555557,5071.69580078125,28704.0,17164.65234375,515475.12890625,0.6,2391.4921875,42324.796875,100.2,,
3,2.048211559653282,635.599861,79.0,29493.25,32760.0,198.204,136876.0,3.802111111111111e-05,0.0015208444444444443,0.00010834,0.0043336,5071.69580078125,28704.0,17164.76171875,515475.12890625,0.5,2391.859375,42324.796875,101.4,,
4,2.688892960548401,635.686663,88.0,29493.25,32760.0,201.287,122918.0,3.414388888888889e-05,0.0013657555555555555,0.00014248388888888887,0.005699355555555555,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.5,2391.890625,42324.796875,100.0,,
5,3.3263714890927076,633.288695,88.0,29493.25,32760.0,202.88,119579.0,3.321638888888889e-05,0.0013286555555555555,0.00017570027777777776,0.007028011111111111,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.6,2391.94140625,42324.796875,98.6,,
6,3.9645301923155785,632.48394,98.0,29493.25,32760.0,200.3,139506.0,3.8751666666666664e-05,0.0015500666666666664,0.00021445194444444441,0.008578077777777776,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.5,2391.94140625,42324.796875,101.7,,
7,4.604890845716,633.437909,100.0,29493.25,32760.0,202.317,120399.0,3.344416666666667e-05,0.0013377666666666667,0.0002478961111111111,0.009915844444444443,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.5,2392.1171875,42324.796875,100.0,,
8,5.2445543352514505,633.081842,80.0,29493.25,32760.0,198.51,137254.0,3.812611111111111e-05,0.0015250444444444445,0.0002860222222222222,0.011440888888888888,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.5,2392.15234375,42324.796875,99.9,,
9,5.885903650894761,633.430838,88.0,29493.25,32760.0,201.381,122713.0,3.408694444444444e-05,0.0013634777777777776,0.00032010916666666664,0.012804366666666666,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.6,2392.203125,42324.796875,100.2,,
10,6.523442849516869,632.01913,88.0,29493.25,32760.0,203.419,120317.0,3.342138888888889e-05,0.0013368555555555556,0.0003535305555555555,0.014141222222222222,5071.69580078125,28704.0,17164.0234375,515475.12890625,0.5,2392.203125,42324.796875,100.1,,
