batch_size,profile,repeat_count,duration_mean_sec,duration_std_sec
16,A,3,309.66192480834434,0.45266140189871595
16,B,3,314.6396173516793,0.26956846898448356
16,C,3,309.6916641823288,0.48054819167091073
