elapsed_sec,gpu_util_mean,gpu_util_std,gpu_mem_used_mean,gpu_mem_used_std,proc_cpu_percent_mean,proc_cpu_percent_std,sys_cpu_percent_mean,sys_cpu_percent_std,step_energy_kwh_mean,step_energy_kwh_std,cumulative_gpu_energy_kwh_mean,cumulative_gpu_energy_kwh_std
0.0,85.66666666666667,8.020806277010644,26349.25,0.0,102.13333333333334,0.9018499505645775,0.6333333333333333,0.05773502691896257,3.720379629629629e-05,8.702122246001948e-07,3.720379629629629e-05,8.702122246001948e-07
1.0,92.0,6.928203230275509,29493.25,0.0,100.13333333333334,0.1154700538379268,0.5333333333333333,0.05773502691896257,3.352888888888889e-05,4.1586765983161563e-07,7.073268518518519e-05,1.2860748834990404e-06
2.0,91.66666666666667,7.783529619223745,29493.25,0.0,100.03333333333333,0.675154303350974,0.5,0.0,3.605143518518518e-05,2.6907310226431594e-08,0.00012511537037037036,2.691771416568178e-07
3.0,89.0,4.58257569495584,29493.25,0.0,100.3,0.3968626966596875,0.5333333333333333,0.028867513459481315,3.597458333333333e-05,1.6978046145711894e-07,0.00019628069444444442,1.0467878649014526e-06
4.0,91.66666666666667,7.234178138070235,29493.25,0.0,100.0,1.5,0.5,0.0,3.367675925925926e-05,4.5930379861684836e-07,0.0002484614814814815,1.3982507075457525e-06
5.0,92.0,7.54983443527075,29493.25,0.0,100.35000000000001,0.47696960070847405,0.5833333333333334,0.0577350269189625,3.609444444444444e-05,2.0569158411998835e-08,0.00030294675925925926,1.0345221034421188e-07
6.0,89.33333333333333,10.066445913694334,29493.25,0.0,99.46666666666667,1.0115993936995678,0.5,0.0,3.497231481481482e-05,2.6550707561503145e-06,0.00035562268518518516,2.043536716007533e-06
7.0,90.33333333333333,7.767453465154029,29493.25,0.0,100.05,0.08660254037844715,0.5,0.0,3.5328101851851854e-05,1.3704145012914137e-06,0.0004094372685185184,1.3345315097688033e-06
8.0,95.33333333333333,6.429100507328637,29493.25,0.0,100.53333333333333,0.9291573243177531,0.5,0.0,3.676851851851852e-05,2.8956539690433015e-06,0.00046304740740740736,1.3570034484309868e-06
9.0,92.33333333333333,5.8594652770823155,29493.25,0.0,99.75,0.3905124837953351,0.5333333333333333,0.05773502691896257,3.526189814814815e-05,1.3005861417013487e-06,0.0005160555555555555,1.2439799712943149e-06
10.0,90.16666666666667,7.147260547463856,29493.25,0.0,100.56666666666666,0.8962886439832484,0.5,0.0,3.621611111111111e-05,2.434530055958274e-06,0.0005818413888888888,1.0310400163132266e-05
11.0,95.33333333333333,6.429100507328637,29493.25,0.0,100.03333333333333,0.05773502691895929,0.5,0.0,3.603087962962963e-05,2.7119541335500933e-06,0.0006347291203703704,1.0544014727454946e-05
12.0,92.33333333333333,5.8594652770823155,29493.25,0.0,100.01666666666667,0.07637626158259299,0.5166666666666667,0.028867513459481315,3.5270787037037036e-05,1.2486313597830802e-06,0.0006941169907407407,1.2604202810885347e-06
13.0,88.66666666666667,9.018499505645789,29493.25,0.0,100.53333333333333,0.8386497083606098,0.5,0.0,3.7091388888888886e-05,2.478896219297892e-06,0.0007487212962962964,1.0692148863772588e-06
14.0,90.33333333333333,2.516611478423583,29493.25,0.0,100.03333333333333,0.07637626158259299,0.5,0.0,3.5285601851851856e-05,1.282739884531665e-06,0.0008008786111111111,7.885501522366977e-08
15.0,95.33333333333333,6.429100507328637,29493.25,0.0,99.5,0.9539392014169406,0.6333333333333333,0.05773502691896257,3.553407407407407e-05,2.91864208676885e-06,0.0008548265740740741,1.4215602119550123e-06
16.0,92.16666666666667,2.362907813126304,29493.25,0.0,100.0,0.05000000000000426,0.5166666666666667,0.028867513459481315,3.605805555555556e-05,1.812214749797254e-07,0.0009084103703703705,1.3126767542160873e-06
17.0,92.0,6.928203230275509,29493.25,0.0,99.6,0.9539392014169451,0.5,0.0,3.371231481481481e-05,4.796525180438889e-07,0.000960655,1.5626146624593086e-06
18.0,91.83333333333333,7.815582725128904,29493.25,0.0,100.55,0.4769696007084703,0.5,0.0,3.621638888888889e-05,2.809574953574734e-08,0.001015292638888889,1.7404817207793538e-07
19.0,88.66666666666667,4.804511768466525,29493.25,0.0,99.73333333333333,0.5057996968497798,0.5,0.0,3.6092083333333336e-05,1.6074557431075417e-07,0.0010867201851851851,1.4560474501039308e-06
20.0,92.0,6.928203230275509,29493.25,0.0,100.63333333333333,0.838649708360606,0.5,0.0,3.374583333333333e-05,4.400716306732971e-07,0.0011390177777777777,1.6691171106341391e-06
21.0,95.33333333333333,3.214550253664318,29493.25,0.0,100.25,0.4769696007084703,0.5,0.0,3.621013888888889e-05,5.1797735483654996e-08,0.0011936462037037037,3.4753944768227774e-07
