step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.38664548099040985,367.364611,39.0,8637.25,32760.0,52.711,38652.0,1.0736666666666667e-05,0.0004294666666666667,1.0736666666666667e-05,0.0004294666666666667,5070.90673828125,7848.0,17030.38671875,515475.12890625,0.6,2216.2265625,21835.0625,106.1,,
4,1.130276545882225,246.460024,90.0,11391.25,32760.0,161.214,136401.0,3.788916666666667e-05,0.0015155666666666668,4.862583333333334e-05,0.0019450333333333335,5071.78173828125,10602.0,17031.125,515475.12890625,0.5,2217.80859375,24651.0625,100.9,,
6,1.6307616643607616,246.172069,88.0,11391.25,32760.0,172.304,85461.0,2.3739166666666668e-05,0.0009495666666666667,7.2365e-05,0.0028946,5071.78173828125,10602.0,17031.125,515475.12890625,0.5,2217.9140625,24651.0625,99.9,,
9,2.3738273102790117,246.122578,79.0,11391.25,32760.0,174.96,121003.0,3.3611944444444445e-05,0.0013444777777777777,0.00010597694444444445,0.004239077777777778,5071.78173828125,10602.0,17031.125,515475.12890625,0.5,2217.9921875,24651.0625,98.2,,
12,3.1153588462620974,245.430876,88.0,11391.25,32760.0,172.372,135206.0,3.7557222222222225e-05,0.001502288888888889,0.00014353416666666667,0.005741366666666667,5071.78173828125,10602.0,17031.1015625,515475.12890625,0.5,2218.02734375,24651.0625,101.2,,
15,3.8578235022723675,246.22538,83.0,11391.25,32760.0,174.85,120057.0,3.334916666666667e-05,0.0013339666666666668,0.00017688333333333334,0.007075333333333334,5071.78173828125,10602.0,17031.1015625,515475.12890625,0.5,2218.08203125,24651.0625,100.6,,
18,4.603521982207894,245.845003,82.0,11391.25,32760.0,172.061,138906.0,3.8585e-05,0.0015434,0.00021546833333333334,0.008618733333333333,5071.78173828125,10602.0,17031.34765625,515475.12890625,0.5,2218.12890625,24651.0625,99.6,,
21,5.347639514133334,247.016413,85.0,11391.25,32760.0,174.063,123124.0,3.420111111111111e-05,0.0013680444444444445,0.00024966944444444446,0.009986777777777778,5071.78173828125,10602.0,17031.34765625,515475.12890625,0.5,2218.16015625,24651.0625,99.5,,
24,6.091157495975494,245.272613,82.0,11391.25,32760.0,175.477,123964.0,3.4434444444444446e-05,0.0013773777777777779,0.0002841038888888889,0.011364155555555557,5071.78173828125,10602.0,17031.34765625,515475.12890625,0.6,2218.2109375,24651.0625,100.8,,
27,6.83402181789279,245.715981,88.0,11391.25,32760.0,173.917,138757.0,3.854361111111111e-05,0.0015417444444444444,0.00032264749999999997,0.012905900000000001,5071.78173828125,10602.0,17031.59375,515475.12890625,0.5,2218.265625,24652.0625,99.7,,
30,7.576009443029761,245.413835,78.0,11391.25,32760.0,175.862,122693.0,3.4081388888888886e-05,0.0013632555555555554,0.0003567288888888889,0.014269155555555557,5071.78173828125,10602.0,17031.59375,515475.12890625,0.5,2218.30078125,24652.0625,100.6,,
33,8.322116950526834,247.113755,90.0,11391.25,32760.0,172.72,136979.0,3.804972222222222e-05,0.0015219888888888889,0.0003947786111111111,0.015791144444444447,5071.78173828125,10602.0,17031.59375,515475.12890625,0.5,2218.34765625,24652.0625,99.7,,
36,9.06308501958847,245.805683,81.0,11391.25,32760.0,175.426,120059.0,3.334972222222222e-05,0.0013339888888888889,0.0004281283333333333,0.017125133333333334,5071.78173828125,10602.0,17031.59375,515475.12890625,0.5,2218.37890625,24652.0625,99.9,,
39,9.805372970178723,246.314922,82.0,11391.25,32760.0,172.058,138200.0,3.838888888888889e-05,0.0015355555555555556,0.00046651722222222224,0.018660688888888888,5071.78173828125,10602.0,17031.83203125,515475.12890625,0.5,2218.42578125,24652.0625,101.1,,
42,10.54783989302814,245.259813,84.0,11391.25,32760.0,174.891,122651.0,3.406972222222222e-05,0.001362788888888889,0.0005005869444444444,0.020023477777777778,5071.78173828125,10602.0,17031.83203125,515475.12890625,0.5,2218.47265625,24652.0625,99.7,,
45,11.290520733222365,245.795083,82.0,11391.25,32760.0,176.75,140853.0,3.912583333333333e-05,0.0015650333333333331,0.0005397127777777778,0.02158851111111111,5071.78173828125,10602.0,17031.83203125,515475.12890625,0.5,2218.5234375,24652.0625,99.6,,
48,12.033100889995694,245.590609,88.0,11391.25,32760.0,174.092,126196.0,3.505444444444444e-05,0.0014021777777777776,0.0005747672222222222,0.02299068888888889,5071.78173828125,10602.0,17031.83203125,515475.12890625,0.5,2218.578125,24652.0625,99.0,,
