step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.38887032121419907,367.363861,128.190022,136.376833,102.641043,-1e-06,12.094186782836914
2,0.6381503120064735,246.24367,43.09237,106.636251,95.769995,-1e-06,12.089266777038574
3,0.8854420799762011,246.692498,43.456407,107.08332,95.425369,-1e-06,12.086222648620605
4,1.132503055036068,246.458514,42.972398,106.901967,95.814016,-1e-06,12.087221145629883
5,1.386190913617611,250.770117,43.303523,106.934337,99.429958,-1e-06,12.073583602905273
6,1.6329794730991125,246.170419,43.050381,106.664302,95.688264,-1e-06,12.033967018127441
7,1.8823200855404139,246.540035,43.256082,106.828085,95.737694,-1e-06,12.099431037902832
8,2.1292544696480036,246.291071,43.043299,106.795864,95.664873,-1e-06,12.065096855163574
9,2.376046346500516,246.121068,43.006449,106.765784,95.633123,-1e-06,12.134574890136719
10,2.6247910410165787,245.895655,43.282733,106.416899,95.45988,-1e-06,12.112712860107422
11,2.8715641293674707,246.125597,42.910337,106.873856,95.559582,-1e-06,12.149974822998047
12,3.1175779458135366,245.429446,43.04883,106.460948,95.157205,-1e-06,12.168367385864258
13,3.3669312689453363,246.568446,43.167212,106.980438,95.696224,-1e-06,12.258889198303223
14,3.613177079707384,245.570829,42.882597,106.596142,95.333798,-1e-06,12.238117218017578
15,3.8600433208048344,246.22675,43.211232,106.738934,95.522741,-1e-06,12.266453742980957
16,4.111979296430945,245.953925,42.948087,106.564861,95.687264,-1e-06,12.19379711151123
17,4.359211005270481,246.415413,43.280123,106.610621,95.801175,-1e-06,12.332989692687988
18,4.6057216096669436,245.843773,43.191242,106.472868,95.430599,-1e-06,12.364665031433105
19,4.855506580322981,246.81918,42.970388,107.090439,96.04691,-1e-06,12.388025283813477
20,5.102210488170385,245.925195,43.425235,106.668632,95.088353,-1e-06,12.475469589233398
21,5.349859863519669,247.015333,43.022369,106.778265,96.464367,-1e-06,12.486947059631348
22,5.600252153351903,247.613144,43.121031,106.360817,97.163129,-1e-06,12.517948150634766
23,5.8474545404314995,246.390522,43.296304,106.691073,95.584252,-1e-06,12.57590103149414
24,6.0933659337460995,245.271753,42.970629,106.079302,95.496861,-1e-06,12.612153053283691
25,6.343490911647677,246.997033,43.350475,106.704323,96.218982,-1e-06,12.6339750289917
26,6.5898824241012335,245.748552,42.873326,106.602161,95.52394,-1e-06,12.71091079711914
27,6.836241636425257,245.714571,43.048819,106.281516,95.630783,-1e-06,12.7998628616333
28,7.084577441215515,245.510957,43.204862,106.359678,95.210215,-1e-06,12.781370162963867
29,7.332183176651597,246.957473,42.873427,106.679513,96.270084,-1e-06,12.807781219482422
30,7.578229200094938,245.412655,43.161291,106.202015,95.305277,-1e-06,12.844978332519531
31,7.830632356926799,245.832253,42.922017,106.489119,95.670333,-1e-06,12.838652610778809
32,8.076600093394518,245.384745,43.034499,106.241596,95.397069,-1e-06,12.852721214294434
33,8.324337158352137,247.112655,43.301514,106.908287,96.148622,-1e-06,12.847102165222168
34,8.572367988526821,245.195612,42.879206,106.058922,95.525081,-1e-06,12.8522310256958
35,8.818862464278936,245.843673,43.149461,106.469709,95.48444,-1e-06,12.882261276245117
36,9.06530424952507,245.804803,43.116741,106.338877,95.613653,-1e-06,12.853498458862305
37,9.314145240932703,246.011856,42.862747,106.347637,96.06326,-1e-06,12.82489013671875
38,9.560630816966295,245.839023,43.258094,106.390477,95.453369,-1e-06,12.846930503845215
39,9.80759228952229,246.313292,42.932638,106.628701,96.0112,-1e-06,12.83701229095459
40,10.056635327637196,246.266581,42.990218,106.742824,95.778825,-1e-06,12.83115291595459
41,10.304217368364334,246.924912,43.317304,106.503049,96.348445,-1e-06,12.789253234863281
42,10.550058363005519,245.258333,42.891767,106.153414,95.44495,-1e-06,12.75515079498291
43,10.799374105408788,246.449773,43.148851,106.393577,96.179173,-1e-06,12.840740203857422
44,11.046283626928926,246.102567,43.114221,106.182704,96.05229,-1e-06,12.72758674621582
45,11.292724061757326,245.794083,42.877268,106.212904,95.976029,-1e-06,12.795401573181152
46,11.541789138689637,246.004666,43.247083,105.97863,96.042969,-1e-06,12.798480987548828
47,11.788984216749668,246.543326,42.835166,107.05395,95.934568,-1e-06,12.712469100952148
48,12.035319868475199,245.589289,43.132401,106.100023,95.625033,-1e-06,12.72207260131836
49,12.289799019694328,246.481494,42.889537,106.55697,96.303534,-1e-06,12.682784080505371
50,12.53568029217422,245.207393,43.031,105.907958,95.539701,-1e-06,12.763629913330078
51,12.790342377498746,246.916251,42.912037,106.397328,96.6275,-1e-06,12.793457984924316
52,13.037271609529853,246.175899,43.451046,106.158684,95.706304,-1e-06,12.750833511352539
53,13.289520991966128,246.055406,42.839346,106.466659,96.02806,-1e-06,12.778877258300781
54,13.535733992233872,245.540268,43.0323,105.887269,95.893437,-1e-06,12.730852127075195
55,13.782244516536593,245.848654,43.124161,106.222284,95.765755,-1e-06,12.752439498901367
56,14.030955228954554,245.864473,42.901066,106.313316,95.898537,-1e-06,12.731738090515137
57,14.278106424957514,246.514765,43.193262,106.424469,96.149522,-1e-06,12.732734680175781
58,14.523992639034986,245.230463,42.968818,106.274216,95.243426,-1e-06,12.82347583770752
59,14.77253146842122,245.6514,42.930127,106.009681,95.982739,-1e-06,12.762675285339355
60,15.0190862249583,245.911164,43.234082,106.282745,95.658624,-1e-06,12.854830741882324
61,15.266173956915736,246.437953,42.905037,106.765274,95.996799,-1e-06,12.763226509094238
62,15.514264300465584,245.296904,43.05331,105.805408,95.682144,-1e-06,12.77964973449707
63,15.76089197769761,245.987966,43.272273,106.142014,95.841497,-1e-06,12.72414493560791
64,16.006932262331247,245.399235,42.934087,106.355018,95.385738,-1e-06,12.787599563598633
65,16.256009293720126,246.320671,43.07823,106.120543,96.343544,-1e-06,12.794838905334473
66,16.50217535160482,245.488557,43.09286,106.209705,95.42978,-1e-06,12.783206939697266
67,16.7484465315938,245.612529,42.886857,106.097113,95.898307,-1e-06,12.773810386657715
68,16.99675342440605,245.441656,43.156392,105.913799,95.638922,-1e-06,12.772544860839844
69,17.243549337610602,246.141528,43.06054,106.375097,95.982349,-1e-06,12.755207061767578
