step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.4737314134836197,464.136027,85.0,14535.25,32760.0,82.953,77943.0,2.1650833333333333e-05,0.0008660333333333334,2.1650833333333333e-05,0.0008660333333333334,5070.90673828125,13746.0,17021.14453125,515475.12890625,0.6,2216.6328125,27243.06640625,103.4,,
3,1.209299886599183,365.669611,88.0,17681.25,32760.0,187.802,133722.0,3.7145e-05,0.0014857999999999998,5.879583333333333e-05,0.0023518333333333334,5070.91455078125,16892.0,17021.31640625,515475.12890625,0.5,2216.78515625,30443.06640625,99.3,,
5,1.945292867720127,367.307739,93.0,17681.25,32760.0,191.585,133216.0,3.700444444444444e-05,0.0014801777777777778,9.580027777777777e-05,0.0038320111111111114,5070.91455078125,16892.0,17021.5625,515475.12890625,0.5,2216.83203125,30443.06640625,100.5,,
7,2.679582027718425,364.782796,98.0,17681.25,32760.0,191.478,148684.0,4.130111111111111e-05,0.0016520444444444444,0.00013710138888888888,0.005484055555555556,5070.91455078125,16892.0,17021.5625,515475.12890625,0.5,2217.01953125,30443.06640625,100.7,,
9,3.413093166425824,364.435778,88.0,17681.25,32760.0,191.962,135554.0,3.7653888888888886e-05,0.0015061555555555555,0.00017475527777777777,0.006990211111111111,5070.91455078125,16892.0,17021.5625,515475.12890625,0.5,2217.05859375,30443.06640625,99.6,,
11,4.14978414028883,365.026899,90.0,17681.25,32760.0,191.999,132412.0,3.678111111111111e-05,0.0014712444444444444,0.00021153638888888888,0.008461455555555556,5070.91455078125,16892.0,17021.5625,515475.12890625,0.5,2217.09765625,30443.06640625,99.1,,
13,4.8821896482259035,364.506971,99.0,17681.25,32760.0,191.669,148557.0,4.1265833333333334e-05,0.0016506333333333335,0.00025280222222222223,0.01011208888888889,5070.91455078125,16892.0,17021.5625,515475.12890625,0.5,2217.15234375,30443.06640625,102.4,,
15,5.615492343902588,364.662783,88.0,17681.25,32760.0,191.979,135086.0,3.7523888888888886e-05,0.0015009555555555555,0.00029032611111111113,0.011613044444444446,5070.91455078125,16892.0,17021.5625,515475.12890625,0.5,2217.15234375,30443.06640625,99.1,,
17,6.350844591856003,364.376198,90.0,17681.25,32760.0,192.036,147979.0,4.1105277777777776e-05,0.001644211111111111,0.0003314313888888889,0.013257255555555557,5070.91455078125,16892.0,17021.80859375,515475.12890625,0.5,2217.2421875,30444.06640625,101.1,,
19,7.086288494989276,364.858756,99.0,17681.25,32760.0,192.013,135118.0,3.7532777777777776e-05,0.0015013111111111112,0.0003689641666666667,0.014758566666666669,5070.91455078125,16892.0,17021.80859375,515475.12890625,0.5,2217.2734375,30444.06640625,99.3,,
