step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.37109037674963474,356.196458,63.0,8637.25,32760.0,60.315,51858.0,1.4405e-05,0.0005762,1.4405e-05,0.0005762,5070.90673828125,7848.0,17029.84375,515475.12890625,0.6,2214.546875,21835.06640625,106.9,,
4,1.1186739765107632,247.43565,81.0,11391.25,32760.0,159.703,121946.0,3.387388888888889e-05,0.0013549555555555557,4.8278888888888894e-05,0.0019311555555555557,5071.78173828125,10602.0,17030.80078125,515475.12890625,0.5,2215.3671875,24651.06640625,99.5,,
7,1.8626488093286753,246.540546,83.0,11391.25,32760.0,171.813,137135.0,3.8093055555555554e-05,0.001523722222222222,8.637194444444445e-05,0.003454877777777778,5071.78173828125,10602.0,17030.80078125,515475.12890625,0.5,2215.4296875,24651.06640625,100.8,,
10,2.605596801266074,246.227269,84.0,11391.25,32760.0,174.329,121753.0,3.382027777777778e-05,0.0013528111111111112,0.00012019222222222224,0.004807688888888889,5071.78173828125,10602.0,17030.80078125,515475.12890625,0.5,2215.4765625,24651.06640625,99.6,,
13,3.3488025087863207,245.819883,83.0,11391.25,32760.0,172.212,140286.0,3.896833333333333e-05,0.0015587333333333332,0.00015916055555555557,0.006366422222222222,5071.78173828125,10602.0,17030.80078125,515475.12890625,0.5,2215.53515625,24651.06640625,101.6,,
15,3.8535597566515207,246.896521,81.0,11391.25,32760.0,172.149,87129.0,2.42025e-05,0.0009681000000000001,0.00018336305555555557,0.007334522222222222,5071.78173828125,10602.0,17030.80078125,515475.12890625,0.5,2215.56640625,24652.06640625,99.8,,
18,4.59665865264833,246.323161,86.0,11391.25,32760.0,172.991,124009.0,3.4446944444444446e-05,0.001377877777777778,0.00021781000000000003,0.0087124,5071.78173828125,10602.0,17031.046875,515475.12890625,0.5,2215.61328125,24652.06640625,99.7,,
21,5.340532220900059,248.339735,80.0,11391.25,32760.0,175.6,125700.0,3.4916666666666664e-05,0.0013966666666666665,0.0002527266666666667,0.010109066666666666,5071.78173828125,10602.0,17031.046875,515475.12890625,0.5,2215.66015625,24652.06640625,99.5,,
24,6.082395805045962,245.568359,88.0,11391.25,32760.0,173.257,138540.0,3.848333333333333e-05,0.0015393333333333333,0.00029121,0.0116484,5071.78173828125,10602.0,17031.046875,515475.12890625,0.6,2215.7109375,24652.06640625,99.7,,
27,6.824490133672953,245.65087,79.0,11391.25,32760.0,176.039,121237.0,3.3676944444444445e-05,0.0013470777777777779,0.00032488694444444445,0.012995477777777778,5071.78173828125,10602.0,17031.015625,515475.12890625,0.5,2215.7109375,24652.06640625,99.7,,
30,7.565163595601916,245.615539,87.0,11391.25,32760.0,172.609,135855.0,3.77375e-05,0.0015095,0.00036262444444444444,0.014504977777777778,5071.78173828125,10602.0,17031.015625,515475.12890625,0.5,2215.7109375,24652.06640625,99.9,,
33,8.307089472189546,245.791142,84.0,11391.25,32760.0,175.065,120784.0,3.3551111111111114e-05,0.0013420444444444445,0.0003961755555555556,0.015847022222222222,5071.78173828125,10602.0,17031.015625,515475.12890625,0.6,2215.84375,24652.06640625,101.8,,
35,8.808031816035509,246.553605,83.0,11391.25,32760.0,174.354,85826.0,2.3840555555555554e-05,0.0009536222222222222,0.00042001611111111114,0.016800644444444443,5071.78173828125,10602.0,17031.015625,515475.12890625,0.5,2215.8671875,24652.06640625,98.0,,
38,9.554250746965408,246.487875,84.0,11391.25,32760.0,171.647,138519.0,3.84775e-05,0.0015390999999999998,0.0004584936111111111,0.018339744444444445,5071.78173828125,10602.0,17031.26171875,515475.12890625,0.5,2215.8671875,24652.06640625,99.7,,
41,10.296904692426324,246.294381,86.0,11391.25,32760.0,173.494,123364.0,3.426777777777778e-05,0.0013707111111111111,0.000492761388888889,0.019710455555555555,5071.78173828125,10602.0,17031.26171875,515475.12890625,0.5,2215.96484375,24652.06640625,101.0,,
44,11.038680136203766,245.678141,79.0,11391.25,32760.0,175.779,125822.0,3.4950555555555555e-05,0.0013980222222222222,0.0005277119444444445,0.021108477777777777,5071.78173828125,10602.0,17031.26171875,515475.12890625,0.5,2215.99609375,24652.06640625,99.8,,
47,11.779922368004918,245.659989,90.0,11391.25,32760.0,173.937,138604.0,3.850111111111111e-05,0.0015400444444444445,0.0005662130555555556,0.02264852222222222,5071.78173828125,10602.0,17026.81640625,515475.12890625,0.5,2215.99609375,24652.06640625,101.2,,
50,12.52180514484644,245.373765,80.0,11391.25,32760.0,175.834,120485.0,3.346805555555556e-05,0.0013387222222222223,0.0005996811111111111,0.023987244444444444,5071.78173828125,10602.0,17026.81640625,515475.12890625,0.5,2216.09375,24652.06640625,99.8,,
53,13.263455403968692,245.756692,84.0,11391.25,32760.0,172.509,135946.0,3.776277777777778e-05,0.0015105111111111112,0.0006374438888888888,0.025497755555555557,5071.78173828125,10602.0,17027.0546875,515475.12890625,0.5,2216.1328125,24652.06640625,99.8,,
56,14.004552364349365,245.021669,83.0,11391.25,32760.0,174.833,120454.0,3.345944444444444e-05,0.0013383777777777777,0.0006709033333333333,0.026836133333333335,5071.78173828125,10602.0,17027.0546875,515475.12890625,0.5,2216.13671875,24652.06640625,99.9,,
59,14.746053231880069,245.707591,82.0,11391.25,32760.0,172.238,139999.0,3.888861111111111e-05,0.0015555444444444442,0.0007097919444444444,0.02839167777777778,5071.78173828125,10602.0,17027.0546875,515475.12890625,0.5,2216.23828125,24652.06640625,100.6,,
62,15.49140852689743,246.28486,88.0,11391.25,32760.0,174.066,124777.0,3.466027777777778e-05,0.0013864111111111111,0.0007444522222222222,0.02977808888888889,5071.78173828125,10602.0,17027.0546875,515475.12890625,0.5,2216.2734375,24652.06640625,98.5,,
65,16.232282834127545,245.738291,79.0,11391.25,32760.0,175.868,125558.0,3.487722222222222e-05,0.001395088888888889,0.0007793294444444444,0.03117317777777778,5071.78173828125,10602.0,17027.0546875,515475.12890625,0.6,2216.3046875,24652.06640625,101.2,,
68,16.974156316369772,245.641479,90.0,11391.25,32760.0,173.494,137535.0,3.820416666666667e-05,0.0015281666666666668,0.0008175336111111111,0.03270134444444445,5071.78173828125,10602.0,17027.30078125,515475.12890625,0.5,2216.359375,24652.06640625,99.7,,
71,17.716553213074803,246.653297,81.0,11391.25,32760.0,175.808,119909.0,3.330805555555556e-05,0.0013323222222222223,0.0008508416666666667,0.03403366666666667,5071.78173828125,10602.0,17027.28125,515475.12890625,0.5,2216.3984375,24652.06640625,101.0,,
